id,country,object_type,launch_year,altitude_km,orbit_type,status
199,Germany,Payload,1965,21375.78,GEO,Active
200,UAE,Payload,2000,12520.47,MEO,Inactive
201,Canada,Payload,2011,22862.77,GEO,Active
202,South Korea,Payload,1974,23141.98,GEO,Inactive
203,Israel,Rocket Body,1976,24799.52,GEO,Active
204,Australia,Debris,1984,12519.36,MEO,Active
205,Israel,Payload,1989,20751.58,GEO,Inactive
206,Germany,Payload,1995,2182.77,MEO,Active
207,China,Payload,1960,288.65,LEO,Active
208,India,Payload,1986,22398.52,GEO,Active
209,United Kingdom,Rocket Body,2002,10525.34,MEO,Inactive
210,France,Payload,1981,16239.04,MEO,Active
211,France,Payload,1963,20564.49,GEO,Inactive
212,France,Payload,1981,19978.88,MEO,Inactive
213,South Korea,Payload,1962,27937.83,GEO,Active
214,United Kingdom,Debris,1973,11391.33,MEO,Inactive
215,China,Payload,1968,13018.5,MEO,Active
216,France,Rocket Body,2016,7682.82,MEO,Active
217,China,Debris,2025,17773.74,MEO,Active
218,Australia,Payload,2015,16125.89,MEO,Active
219,United Kingdom,Payload,2010,26170.95,GEO,Inactive
220,South Korea,Payload,2008,3176.76,MEO,Inactive
221,Italy,Payload,1974,20293.53,GEO,Inactive
222,Japan,Payload,1964,22711.34,GEO,Inactive
223,Israel,Debris,1969,17393.43,MEO,Inactive
224,Australia,Payload,2004,22832.33,GEO,Inactive
225,Russia,Payload,2004,4437.86,MEO,Active
226,South Korea,Debris,1979,15190.96,MEO,Inactive
227,Canada,Debris,1999,21029.11,GEO,Inactive
228,South Korea,Payload,1973,5459.94,MEO,Active
229,India,Debris,1960,8029.99,MEO,Active
230,China,Payload,2015,27580.14,GEO,Active
231,Canada,Debris,2005,12362.43,MEO,Active
232,Japan,Payload,1994,30007.05,GEO,Active
233,Israel,Payload,1986,19310.61,MEO,Active
234,Italy,Debris,1998,29876.29,GEO,Inactive
235,Japan,Debris,1992,21375.26,GEO,Active
236,UAE,Debris,1991,23481.64,GEO,Active
237,South Korea,Debris,1985,3187.44,MEO,Inactive
238,France,Payload,1960,28081.98,GEO,Inactive
239,China,Rocket Body,1990,4337.02,MEO,Active
240,Russia,Debris,1969,18227.97,MEO,Inactive
241,Australia,Debris,1978,10921.35,MEO,Active
242,Germany,Payload,1962,11555.82,MEO,Inactive
243,Italy,Payload,1989,26141.9,GEO,Active
244,South Korea,Payload,2008,32238.66,GEO,Active
245,France,Debris,2017,27506.8,GEO,Inactive
246,Australia,Payload,2003,16519.62,MEO,Active
247,Japan,Debris,2012,7494.91,MEO,Inactive
248,UAE,Debris,1981,33964.15,GEO,Active
249,Italy,Debris,1966,21484.87,GEO,Inactive
250,China,Debris,1971,27163.29,GEO,Inactive
251,Germany,Rocket Body,2005,24233.86,GEO,Active
252,Japan,Payload,1979,33303.45,GEO,Inactive
253,Italy,Debris,1996,29486.48,GEO,Inactive
254,Brazil,Payload,1995,26515.39,GEO,Inactive
255,Italy,Payload,2007,32007.68,GEO,Active
256,Australia,Payload,2015,2759.74,MEO,Inactive
257,India,Debris,2002,30917.7,GEO,Inactive
258,Italy,Debris,2012,20894.79,GEO,Inactive
259,Italy,Payload,1961,20143.89,GEO,Active
260,Brazil,Payload,1967,23018.36,GEO,Inactive
261,Brazil,Payload,2008,23138.76,GEO,Active
262,Germany,Payload,1962,7433.0,MEO,Active
263,Israel,Payload,1968,23045.81,GEO,Inactive
264,United Kingdom,Debris,1989,22028.88,GEO,Inactive
265,Australia,Payload,2016,8037.72,MEO,Active
266,India,Debris,1992,19695.9,MEO,Active
267,China,Debris,2019,10433.21,MEO,Inactive
268,China,Debris,1988,8783.77,MEO,Active
269,South Korea,Debris,2006,5804.48,MEO,Inactive
270,Israel,Payload,1989,25691.47,GEO,Inactive
271,Japan,Payload,2013,28574.6,GEO,Active
272,Brazil,Debris,1970,29432.14,GEO,Active
273,Japan,Payload,2018,31963.79,GEO,Active
274,Canada,Debris,1988,4180.48,MEO,Active
275,Japan,Payload,1972,24711.59,GEO,Active
276,Israel,Payload,2008,33078.64,GEO,Inactive
277,South Korea,Debris,2023,17438.24,MEO,Inactive
278,Australia,Payload,2022,5955.15,MEO,Active
279,Brazil,Payload,2021,13568.41,MEO,Inactive
280,India,Rocket Body,1998,9379.77,MEO,Active
281,Israel,Payload,1969,34356.84,GEO,Active
282,Italy,Payload,2010,30381.61,GEO,Active
283,China,Payload,2003,33883.97,GEO,Inactive
284,Russia,Payload,2001,5439.95,MEO,Active
285,India,Debris,1978,17582.14,MEO,Active
286,Russia,Payload,1985,16089.24,MEO,Active
287,Canada,Payload,1977,25403.64,GEO,Inactive
288,France,Debris,2022,30140.94,GEO,Active
289,Italy,Payload,1987,21897.59,GEO,Active
290,Italy,Debris,1990,650.2,LEO,Active
291,Canada,Debris,1979,27590.56,GEO,Active
292,France,Payload,2010,9504.5,MEO,Inactive
293,Japan,Debris,2020,23408.19,GEO,Active
294,Brazil,Debris,1967,33381.11,GEO,Active
295,Canada,Debris,1961,35429.3,GEO,Inactive
296,Israel,Payload,2008,21577.44,GEO,Active
297,United States,Debris,1994,16698.47,MEO,Active
298,Russia,Payload,1974,8516.41,MEO,Active
299,United Kingdom,Rocket Body,1980,19809.63,MEO,Active
300,South Korea,Debris,1966,32017.27,GEO,Active
301,United Kingdom,Debris,2009,6850.31,MEO,Inactive
302,Russia,Debris,1993,11521.13,MEO,Active
303,Canada,Payload,1964,15985.16,MEO,Inactive
304,Germany,Debris,1962,14693.99,MEO,Inactive
305,Italy,Debris,1962,19672.35,MEO,Inactive
306,UAE,Payload,2011,34551.28,GEO,Active
307,Japan,Payload,1980,21386.68,GEO,Inactive
308,Israel,Debris,1968,24335.41,GEO,Active
309,South Korea,Debris,1985,16866.93,MEO,Inactive
310,Australia,Payload,1987,6242.33,MEO,Active
311,France,Debris,1982,33928.46,GEO,Active
312,China,Debris,1996,8361.14,MEO,Inactive
313,United Kingdom,Debris,1996,26694.47,GEO,Active
314,Russia,Debris,2025,13401.0,MEO,Inactive
315,UAE,Payload,1981,26802.17,GEO,Inactive
316,Russia,Payload,2024,19748.8,MEO,Inactive
317,UAE,Debris,1967,3067.99,MEO,Active
318,UAE,Payload,2024,11819.46,MEO,Active
319,Japan,Payload,2022,18316.24,MEO,Inactive
320,Australia,Payload,1964,34221.04,GEO,Active
321,Canada,Debris,1968,10087.05,MEO,Active
322,South Korea,Rocket Body,2002,19029.45,MEO,Inactive
323,Germany,Payload,1983,13266.56,MEO,Inactive
324,Israel,Payload,2013,17574.33,MEO,Inactive
325,United Kingdom,Debris,1971,19345.54,MEO,Active
326,Germany,Payload,2008,3619.24,MEO,Active
327,Canada,Payload,2025,8727.42,MEO,Inactive
328,South Korea,Rocket Body,2010,30238.1,GEO,Active
329,United Kingdom,Debris,2000,14665.24,MEO,Inactive
330,South Korea,Debris,1986,20807.01,GEO,Active
331,United Kingdom,Payload,2022,8396.04,MEO,Inactive
332,China,Debris,1971,22145.46,GEO,Active
333,Australia,Debris,2007,16480.22,MEO,Inactive
334,France,Payload,2002,14975.82,MEO,Active
335,Canada,Debris,2007,15577.31,MEO,Active
336,Brazil,Debris,1966,4250.22,MEO,Active
337,United Kingdom,Rocket Body,2020,30063.93,GEO,Active
338,Japan,Debris,2002,8808.08,MEO,Active
339,Japan,Payload,2019,17461.01,MEO,Active
340,Brazil,Debris,2021,33605.46,GEO,Inactive
341,Germany,Payload,1981,23712.57,GEO,Active
342,UAE,Rocket Body,1991,14173.02,MEO,Inactive
343,Italy,Payload,1969,15665.97,MEO,Active
344,Italy,Debris,1977,33758.54,GEO,Active
345,Australia,Rocket Body,1984,5968.95,MEO,Active
346,Russia,Payload,1973,24392.32,GEO,Active
347,Russia,Payload,2010,13918.98,MEO,Inactive
348,United States,Rocket Body,2014,23648.26,GEO,Inactive
349,France,Debris,2009,35396.48,GEO,Inactive
350,United Kingdom,Debris,1982,22089.54,GEO,Inactive
351,Japan,Rocket Body,1975,4506.03,MEO,Inactive
352,UAE,Debris,1981,9111.21,MEO,Active
353,Brazil,Debris,1972,5568.27,MEO,Active
354,South Korea,Debris,1988,30836.28,GEO,Active
355,Japan,Payload,1977,12710.54,MEO,Active
356,South Korea,Payload,1991,13707.35,MEO,Active
357,China,Rocket Body,1971,28480.49,GEO,Active
358,France,Rocket Body,2015,24105.73,GEO,Active
359,South Korea,Payload,1991,28381.87,GEO,Active
360,Japan,Debris,2000,1684.78,LEO,Active
361,United Kingdom,Debris,1984,28240.56,GEO,Inactive
362,Israel,Debris,1994,22617.06,GEO,Inactive
363,United States,Debris,1973,7750.56,MEO,Active
364,Canada,Payload,1989,3826.82,MEO,Active
365,France,Debris,1992,22255.08,GEO,Active
366,Australia,Debris,1965,25492.56,GEO,Inactive
367,United States,Payload,2003,4648.39,MEO,Active
368,Brazil,Debris,1992,25835.69,GEO,Active
369,UAE,Debris,1983,11222.24,MEO,Inactive
370,United Kingdom,Payload,2008,22768.13,GEO,Active
371,Russia,Payload,1969,5589.74,MEO,Inactive
372,United States,Payload,1968,35950.55,GEO,Inactive
373,Israel,Debris,1972,21871.55,GEO,Active
374,Israel,Payload,1996,14887.67,MEO,Active
375,Japan,Payload,1999,9736.11,MEO,Active
376,Israel,Debris,1979,13032.62,MEO,Inactive
377,UAE,Debris,2000,11887.3,MEO,Inactive
378,Russia,Payload,1967,35754.9,GEO,Inactive
379,Russia,Rocket Body,2005,29668.72,GEO,Active
380,South Korea,Debris,1976,3374.35,MEO,Active
381,Israel,Payload,1964,25012.85,GEO,Active
382,China,Rocket Body,2006,18099.25,MEO,Active
383,United States,Debris,2007,26654.12,GEO,Inactive
384,Brazil,Rocket Body,1993,30411.84,GEO,Active
385,China,Payload,2010,11058.29,MEO,Active
386,China,Rocket Body,1971,26427.62,GEO,Active
387,UAE,Debris,2007,24928.82,GEO,Active
388,United States,Payload,1986,2415.58,MEO,Inactive
389,Italy,Payload,1982,658.26,LEO,Active
390,Canada,Debris,1993,16963.4,MEO,Inactive
391,Canada,Debris,1965,9604.69,MEO,Inactive
392,France,Debris,2013,23250.18,GEO,Inactive
393,France,Payload,1982,21761.31,GEO,Active
394,China,Payload,1995,5663.34,MEO,Inactive
395,France,Payload,2021,10557.29,MEO,Active
396,UAE,Debris,2021,24477.07,GEO,Active
397,France,Debris,1978,2432.12,MEO,Active
398,United Kingdom,Rocket Body,2022,20349.37,GEO,Active
399,Japan,Payload,1984,21154.38,GEO,Active
400,Japan,Payload,2018,30015.7,GEO,Inactive
401,Russia,Payload,2025,31568.13,GEO,Active
402,Brazil,Rocket Body,1988,12194.86,MEO,Inactive
403,India,Payload,2020,4823.95,MEO,Active
404,Canada,Debris,2008,30262.5,GEO,Active
405,Russia,Debris,1974,35791.52,GEO,Inactive
406,United States,Payload,2019,25780.54,GEO,Active
407,United States,Payload,1980,12896.04,MEO,Active
408,Australia,Payload,2010,2527.1,MEO,Inactive
409,Canada,Debris,1962,34706.61,GEO,Inactive
410,France,Payload,1994,15551.6,MEO,Active
411,France,Debris,1979,27793.97,GEO,Active
412,France,Payload,1998,16122.9,MEO,Inactive
413,Israel,Rocket Body,1972,11536.43,MEO,Inactive
414,UAE,Payload,1971,17312.98,MEO,Active
415,South Korea,Debris,1987,16580.25,MEO,Active
416,South Korea,Debris,2016,4074.99,MEO,Inactive
417,Canada,Payload,2012,6257.39,MEO,Active
418,Russia,Debris,1996,33375.85,GEO,Active
419,Israel,Payload,2002,4281.66,MEO,Inactive
420,United States,Rocket Body,1967,25195.32,GEO,Inactive
421,United States,Debris,1973,22794.5,GEO,Inactive
422,United States,Debris,2005,2834.67,MEO,Inactive
423,South Korea,Payload,1990,24183.3,GEO,Active
424,Brazil,Rocket Body,2010,26562.23,GEO,Inactive
425,United States,Debris,1968,28803.29,GEO,Active
426,China,Payload,1965,25628.51,GEO,Active
427,United States,Payload,2002,28344.06,GEO,Active
428,Brazil,Debris,1964,33322.3,GEO,Inactive
429,Russia,Payload,1967,19202.0,MEO,Inactive
430,India,Payload,1966,3592.23,MEO,Inactive
431,China,Payload,1960,6954.63,MEO,Inactive
432,France,Debris,1962,11767.31,MEO,Active
433,India,Payload,1965,22528.29,GEO,Active
434,South Korea,Payload,1992,34762.16,GEO,Active
435,France,Rocket Body,1998,2545.99,MEO,Inactive
436,United States,Debris,2014,18194.43,MEO,Inactive
437,Israel,Payload,1998,13654.86,MEO,Active
438,Canada,Payload,1963,7961.38,MEO,Active
439,Russia,Payload,2021,33668.78,GEO,Active
440,Australia,Rocket Body,1970,35379.03,GEO,Active
441,South Korea,Payload,1963,11801.25,MEO,Active
442,Japan,Payload,1996,33906.6,GEO,Active
443,United States,Payload,1993,20578.45,GEO,Inactive
444,United States,Payload,2018,5931.39,MEO,Active
445,China,Payload,2008,28978.55,GEO,Inactive
446,Russia,Debris,2015,20179.71,GEO,Active
447,United Kingdom,Payload,2021,18516.43,MEO,Active
448,India,Payload,1966,20664.47,GEO,Active
449,UAE,Debris,1997,25892.18,GEO,Active
450,Japan,Payload,2012,26709.55,GEO,Inactive
451,Japan,Payload,1977,28260.04,GEO,Active
452,Brazil,Rocket Body,2006,27079.17,GEO,Inactive
453,South Korea,Payload,1984,7281.08,MEO,Active
454,UAE,Payload,1990,3502.19,MEO,Inactive
455,France,Rocket Body,1970,19189.39,MEO,Inactive
456,South Korea,Payload,1998,7734.98,MEO,Active
457,Germany,Payload,2017,25717.51,GEO,Active
458,Italy,Rocket Body,1975,31070.85,GEO,Active
459,UAE,Payload,1980,27531.45,GEO,Inactive
460,South Korea,Debris,2011,10992.52,MEO,Active
461,France,Payload,1972,6506.09,MEO,Active
462,Japan,Payload,1997,28970.32,GEO,Active
463,Israel,Payload,1971,24250.09,GEO,Inactive
464,France,Debris,1960,23526.05,GEO,Inactive
465,United Kingdom,Rocket Body,2004,4813.55,MEO,Active
466,France,Debris,2011,31774.53,GEO,Inactive
467,Germany,Rocket Body,2007,22820.81,GEO,Active
468,Russia,Debris,2023,31686.63,GEO,Active
469,Germany,Debris,1963,31505.07,GEO,Active
470,South Korea,Payload,2004,29534.66,GEO,Active
471,Canada,Debris,1975,21534.17,GEO,Inactive
472,Brazil,Debris,1973,16691.47,MEO,Active
473,Russia,Payload,1985,29071.36,GEO,Active
474,China,Payload,1964,5890.54,MEO,Inactive
475,Canada,Payload,1981,16893.74,MEO,Inactive
476,Russia,Payload,2021,26794.44,GEO,Active
477,China,Debris,2020,18797.17,MEO,Active
478,Italy,Debris,2024,33862.41,GEO,Active
479,Japan,Debris,1971,16018.63,MEO,Inactive
480,Canada,Debris,1979,5988.57,MEO,Active
481,China,Payload,2022,23073.06,GEO,Inactive
482,China,Debris,1962,35204.02,GEO,Active
483,Russia,Rocket Body,1962,7951.12,MEO,Inactive
484,United States,Payload,1982,30626.35,GEO,Inactive
485,Australia,Debris,1983,23541.39,GEO,Active
486,France,Payload,2012,26710.74,GEO,Active
487,Japan,Debris,2003,26469.95,GEO,Active
488,United States,Debris,1995,26569.48,GEO,Active
489,China,Debris,2024,9288.45,MEO,Inactive
490,India,Payload,1981,27369.65,GEO,Active
491,South Korea,Debris,1981,9654.24,MEO,Active
492,South Korea,Payload,2013,30127.54,GEO,Inactive
493,Japan,Payload,2007,2168.52,MEO,Active
494,UAE,Payload,1999,3606.18,MEO,Inactive
495,UAE,Debris,1974,21325.79,GEO,Active
496,Brazil,Payload,2018,27135.33,GEO,Active
497,Germany,Payload,1980,5023.85,MEO,Active
498,South Korea,Rocket Body,1978,35188.26,GEO,Active
499,Israel,Debris,2022,20998.28,GEO,Active
500,Israel,Payload,1973,29355.81,GEO,Inactive
501,Russia,Debris,1995,6058.95,MEO,Active
502,Israel,Payload,1970,34880.68,GEO,Inactive
503,Russia,Debris,1972,33210.93,GEO,Active
504,South Korea,Debris,2024,13476.35,MEO,Active
505,India,Rocket Body,1981,896.55,LEO,Inactive
506,Russia,Debris,2006,35181.09,GEO,Active
507,China,Payload,2018,244.32,LEO,Inactive
508,Australia,Payload,2001,25132.55,GEO,Inactive
509,Canada,Payload,1977,35558.25,GEO,Active
510,Russia,Payload,2003,840.84,LEO,Inactive
511,Germany,Debris,2025,15594.83,MEO,Inactive
512,Germany,Debris,1994,26592.12,GEO,Active
513,South Korea,Debris,1998,2045.93,MEO,Inactive
514,Russia,Debris,1966,20612.59,GEO,Active
515,United States,Debris,1964,9552.87,MEO,Active
516,Italy,Payload,1971,27614.84,GEO,Active
517,UAE,Rocket Body,1987,19859.29,MEO,Inactive
518,Japan,Rocket Body,2005,11940.85,MEO,Active
519,Brazil,Debris,2009,12550.95,MEO,Inactive
520,South Korea,Rocket Body,2001,9024.65,MEO,Active
521,India,Debris,1960,15128.89,MEO,Active
522,UAE,Payload,1973,12532.26,MEO,Active
523,South Korea,Rocket Body,1980,29442.29,GEO,Inactive
524,Russia,Payload,1964,35851.9,GEO,Inactive
525,United States,Debris,2007,34449.74,GEO,Inactive
526,South Korea,Payload,2022,17069.47,MEO,Active
527,Brazil,Debris,1966,7184.64,MEO,Active
528,Brazil,Debris,2001,18285.36,MEO,Active
529,South Korea,Payload,1995,29972.48,GEO,Inactive
530,Germany,Debris,2007,6134.96,MEO,Active
531,Israel,Payload,1985,887.27,LEO,Inactive
532,United States,Payload,1965,5906.15,MEO,Active
533,India,Debris,2008,5755.93,MEO,Inactive
534,China,Payload,1970,21210.85,GEO,Active
535,Italy,Debris,2020,23883.07,GEO,Inactive
536,Brazil,Payload,2002,27001.94,GEO,Active
537,Australia,Debris,1969,13549.77,MEO,Active
