id,country,object_type,launch_year,growth_year,altitude_km,min_altitude_km,max_altitude_km,orbit_type,status,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40
11,South Korea,Payload,1993,1993,32508.73,32485.5,32515.63,GEO,Inactive,215.99,819.57,512.13,47.44,59.32,131.08,976.41,381.69,83.09,853.65,508.58,539.78,231.05,843.1,927.8,877.63,327.77,855.25,550.03,922.82,74.59,712.07,277.9,983.51,556.46,99.21,889.59,727.12,683.77,987.85,707.17,550.32,124.07,986.05,800.03,922.09,504.18,54.19,758.16,194.7
12,Brazil,Debris,2009,2009,19206.44,19185.56,19229.3,MEO,Inactive,154.79,923.7,895.2,523.18,178.13,618.74,285.84,179.46,512.56,859.28,300.24,758.16,489.67,902.18,598.09,47.37,304.03,936.33,414.24,976.0,494.0,715.44,15.12,340.16,938.01,258.81,23.63,483.67,989.23,753.93,866.95,128.01,383.96,447.59,704.68,663.55,416.81,943.95,723.04,175.82
13,United Kingdom,Debris,2003,2003,17240.26,17210.4,17272.35,MEO,Inactive,159.29,234.63,450.96,746.89,473.27,127.58,139.31,580.01,677.42,437.84,474.95,712.46,108.89,637.91,203.4,210.56,160.41,948.05,142.88,112.99,762.55,268.97,262.92,714.32,219.87,372.3,611.33,22.21,359.78,949.14,207.03,179.84,438.28,968.84,804.63,449.49,10.65,102.44,485.59,527.85
14,Italy,Rocket Body,2014,2014,7535.26,7490.51,7535.65,MEO,Active,270.37,909.42,774.94,880.78,732.58,440.35,654.23,663.43,959.46,222.25,703.48,264.98,874.12,635.69,866.99,924.18,4.2,156.63,790.36,613.22,760.29,535.95,722.51,651.44,699.72,175.61,300.89,194.27,185.41,761.17,419.16,881.06,17.66,500.44,481.1,679.45,678.51,985.22,129.06,305.58
15,Canada,Rocket Body,2014,2014,26511.96,26462.23,26520.81,GEO,Active,721.35,899.2,41.09,821.91,733.78,283.55,184.58,642.74,781.95,389.23,594.14,620.14,788.2,644.29,673.92,684.05,919.89,932.05,488.0,86.72,711.78,648.54,589.26,785.39,105.12,47.27,229.78,895.02,873.95,589.56,133.9,57.31,184.26,724.93,336.98,187.48,469.13,961.58,488.84,770.8
16,United Kingdom,Payload,2007,2007,11206.16,11197.67,11240.35,MEO,Active,662.3,999.09,277.9,932.58,219.54,545.19,181.38,376.1,720.04,509.41,862.84,836.66,629.92,221.77,511.98,884.94,51.14,163.65,140.17,253.3,50.41,614.99,586.37,622.53,730.29,308.77,889.74,790.96,318.77,813.64,989.49,355.35,16.94,161.07,533.95,121.69,663.8,379.28,185.7,705.39
17,United States,Payload,2008,2008,33264.93,33239.63,33301.94,GEO,Inactive,697.91,234.9,730.17,625.37,639.38,570.8,311.71,666.91,911.1,238.71,973.6,34.06,322.77,509.09,992.29,112.76,505.48,8.8,264.07,487.12,826.8,927.94,310.51,393.65,237.16,806.06,241.35,827.04,156.7,991.89,163.14,549.67,429.63,67.3,507.84,148.75,443.25,697.84,662.68,250.66
18,Canada,Debris,2014,2014,13311.15,13267.26,13326.45,MEO,Inactive,528.97,633.65,592.65,188.72,676.72,910.27,65.0,440.23,903.09,751.28,799.55,47.66,545.71,502.15,248.63,845.4,691.55,8.13,295.38,893.97,372.23,861.91,749.77,145.69,813.76,724.47,875.73,781.2,266.67,286.86,723.61,334.12,906.16,127.05,71.85,456.13,245.81,203.79,931.5,46.43
19,China,Payload,2025,2025,15395.63,15390.45,15440.11,MEO,Active,180.77,712.3,874.18,178.41,281.94,879.87,256.5,64.96,257.77,975.89,953.85,15.31,366.68,625.45,532.58,782.73,823.86,825.85,670.82,912.95,883.87,244.1,477.0,791.92,789.82,231.26,690.79,462.47,237.1,854.65,942.05,283.75,612.25,860.52,994.27,824.25,391.69,760.62,115.02,118.74
20,Israel,Debris,1994,1994,14123.27,14084.96,14147.74,MEO,Inactive,651.0,671.87,485.0,17.27,724.51,816.68,574.17,775.18,102.46,998.78,74.78,58.87,550.39,14.97,601.47,288.1,213.57,881.54,303.41,745.16,611.58,913.94,227.04,953.82,415.88,511.81,801.48,247.04,242.86,919.68,423.75,323.09,112.9,3.77,950.66,70.93,848.9,132.2,319.48,651.99
21,UAE,Rocket Body,2014,2014,34778.18,34751.5,34808.31,GEO,Active,391.73,212.73,80.45,636.86,921.76,329.68,248.44,518.04,402.04,458.1,359.81,661.23,11.27,31.98,181.47,842.29,164.6,353.03,14.14,759.2,448.8,919.31,104.83,456.61,190.6,56.86,585.67,258.84,23.68,640.52,144.97,821.7,114.39,297.31,943.86,198.45,28.36,604.73,658.91,782.68
22,Canada,Payload,2008,2008,5736.81,5732.6,5773.68,MEO,Inactive,992.73,357.43,691.89,190.53,265.65,502.61,450.1,412.22,418.02,744.89,29.51,377.55,839.2,494.86,837.85,460.71,895.18,547.96,364.64,647.93,633.81,366.76,806.33,77.42,562.18,198.3,604.64,663.04,904.37,584.29,264.18,457.9,403.88,66.18,352.23,809.68,89.47,819.06,291.56,435.25
23,United Kingdom,Payload,2014,2014,20582.72,20538.51,20622.96,GEO,Inactive,768.92,366.08,899.44,963.74,819.58,220.52,50.49,119.83,315.95,16.79,482.82,922.03,158.93,646.58,857.24,818.26,511.47,956.37,41.65,15.53,949.16,470.42,494.46,277.19,715.05,439.22,130.62,897.39,815.94,991.81,962.58,938.18,348.85,623.07,89.62,795.52,262.11,527.09,826.92,509.68
24,United States,Debris,1995,1995,33187.04,33170.26,33225.4,GEO,Inactive,906.14,858.12,901.92,15.97,647.42,986.14,424.86,57.47,390.46,292.33,455.79,144.16,43.37,501.7,533.31,337.17,120.15,327.16,233.92,429.27,768.79,233.25,215.75,791.07,488.8,9.08,277.53,918.21,594.78,863.12,911.69,991.0,641.61,912.78,303.63,385.42,34.08,514.22,828.21,382.42
25,United States,Debris,2023,2023,4760.57,4721.35,4779.7,MEO,Active,348.37,594.79,242.8,761.75,547.6,123.99,522.6,958.82,305.23,45.77,563.71,619.37,830.06,249.85,557.27,74.05,159.62,553.07,599.51,443.55,422.89,349.47,621.98,528.47,644.93,384.57,747.78,530.39,601.17,356.32,57.82,733.48,0.11,387.67,192.53,85.38,812.17,436.77,82.89,236.1
26,Israel,Debris,2006,2006,3986.76,3947.06,3998.73,MEO,Active,115.76,289.99,380.24,181.32,728.23,742.9,572.99,825.54,779.24,648.01,443.02,978.01,461.47,250.04,442.17,711.43,550.57,444.67,624.28,404.53,375.85,445.58,20.42,282.71,704.34,870.17,747.83,330.18,676.71,968.22,598.79,991.79,691.45,222.33,275.71,158.04,552.67,824.7,920.53,956.38
27,Germany,Payload,1992,1992,18674.51,18665.5,18678.2,MEO,Inactive,848.72,87.68,594.47,570.87,410.08,53.78,677.6,262.48,82.65,61.96,832.37,710.66,280.81,312.53,157.61,90.63,633.7,900.15,881.89,358.13,413.44,56.24,774.29,329.05,271.16,867.51,553.13,334.22,858.78,622.83,297.52,170.66,112.88,124.73,21.72,225.94,710.49,255.26,489.08,97.35
28,Israel,Debris,2005,2005,35667.08,35621.71,35674.98,GEO,Inactive,867.4,26.71,921.34,427.82,288.13,345.53,75.74,826.7,670.86,386.17,780.43,190.61,276.13,989.49,680.44,146.26,470.62,936.44,365.07,841.9,320.51,472.94,354.68,6.33,227.44,510.74,338.83,821.41,13.46,590.01,147.59,870.99,533.77,775.2,524.35,316.76,733.98,826.47,127.57,73.51
29,Israel,Payload,1991,1991,29163.86,29149.08,29210.36,GEO,Inactive,689.9,345.6,394.55,406.53,654.71,820.92,97.83,258.71,140.78,439.0,395.63,112.65,274.1,709.65,571.08,678.15,169.73,909.61,403.96,942.25,343.45,229.69,122.09,147.64,214.01,944.17,881.83,30.4,600.44,963.87,922.3,318.81,551.14,488.21,9.39,969.54,103.33,555.55,520.86,427.97
30,Italy,Payload,2012,2012,22675.9,22631.47,22713.39,GEO,Inactive,666.41,412.07,344.44,904.35,450.52,15.53,284.01,649.16,675.53,809.32,291.28,218.47,663.8,259.93,343.45,874.51,82.07,273.93,448.35,103.94,899.16,440.89,843.67,90.29,512.39,413.28,947.09,280.91,634.12,421.52,192.47,272.21,56.76,281.27,20.46,695.36,316.14,842.15,73.27,501.87
31,Brazil,Rocket Body,2016,2016,31496.13,31479.84,31515.36,GEO,Inactive,805.35,534.54,497.48,745.88,296.22,718.88,546.33,164.08,897.34,366.21,756.0,186.39,282.45,827.29,68.99,838.04,270.73,241.5,89.74,60.7,249.81,891.11,405.56,850.69,172.05,938.24,347.84,614.19,545.55,920.75,437.07,61.67,533.75,229.7,767.41,543.63,947.76,675.35,338.44,351.46
32,Brazil,Payload,2016,2016,31142.96,31095.87,31191.38,GEO,Inactive,315.41,22.83,782.68,332.47,45.01,764.34,120.54,520.62,148.17,779.64,397.81,820.37,479.04,357.28,523.6,975.7,868.31,767.45,432.88,43.85,858.36,319.46,132.86,604.37,6.26,990.32,994.25,75.11,128.92,514.66,317.01,570.1,109.26,32.38,422.92,816.96,155.5,372.13,879.98,555.48
33,South Korea,Payload,2001,2001,23717.79,23668.6,23721.86,GEO,Active,325.08,348.12,381.33,417.0,441.39,779.35,353.06,118.48,704.22,456.29,61.03,342.24,805.9,466.89,125.3,522.08,493.9,184.35,630.26,568.52,514.5,961.99,114.76,402.43,202.31,569.28,77.94,936.26,961.04,383.33,167.98,522.39,399.46,855.35,276.38,385.63,711.64,390.98,448.22,108.49
34,Israel,Debris,1993,1993,25640.18,25603.7,25657.86,GEO,Active,299.52,812.82,119.84,653.92,869.09,216.51,579.67,140.74,528.07,330.15,31.77,189.68,288.41,851.91,180.9,69.82,521.73,322.77,854.83,152.83,511.97,689.83,209.79,661.23,798.21,842.74,1.71,270.63,638.27,101.04,981.53,351.31,953.71,881.7,659.34,531.58,996.97,429.5,747.4,556.01
35,Italy,Debris,2024,2024,35461.48,35418.78,35482.36,GEO,Active,743.91,36.25,976.58,983.34,669.29,752.4,241.37,27.85,839.38,409.31,25.8,137.39,454.36,950.85,722.85,145.36,980.2,70.97,824.16,319.07,133.11,232.79,390.52,113.22,971.0,996.27,350.96,277.1,349.1,146.97,17.54,197.46,202.6,176.89,682.14,349.1,83.19,106.82,959.82,235.18
36,United States,Debris,2016,2016,11487.3,11466.72,11525.33,MEO,Inactive,669.22,660.91,956.19,938.82,593.45,435.94,241.92,354.15,841.81,76.92,190.94,294.11,45.68,148.76,174.73,37.54,284.8,763.47,517.35,274.23,743.5,508.71,213.91,516.6,776.06,384.01,322.29,363.41,756.2,91.28,107.24,216.73,578.5,665.27,831.28,391.97,61.5,342.42,181.28,151.06
37,South Korea,Payload,1991,1991,2840.57,2835.0,2884.01,MEO,Active,37.78,616.89,389.51,796.27,285.7,571.23,200.32,743.16,947.46,811.52,505.1,10.75,297.04,707.82,971.67,27.11,370.65,382.58,466.87,338.17,142.77,722.28,172.99,15.46,336.47,723.89,422.99,663.33,87.65,26.76,386.87,737.34,346.69,33.91,272.83,137.91,963.67,680.72,962.47,276.23
38,Japan,Payload,2003,2003,15525.39,15510.93,15552.98,MEO,Inactive,744.99,861.63,456.29,269.13,376.24,614.41,442.73,446.17,119.35,684.56,295.67,391.11,306.82,96.16,441.18,734.97,244.82,590.47,749.29,801.66,584.13,876.81,705.24,555.11,666.09,852.61,445.95,516.86,281.73,369.18,846.4,829.06,103.31,70.44,438.44,728.42,12.77,735.56,429.89,699.92
39,UAE,Rocket Body,2017,2017,1598.87,1550.64,1632.06,LEO,Inactive,457.26,937.4,843.02,913.07,419.63,798.54,624.52,894.36,842.03,950.59,444.36,441.53,379.34,815.52,362.49,860.72,471.08,210.81,809.78,226.32,17.99,206.73,494.29,298.86,340.51,311.36,469.92,832.65,151.6,222.09,772.03,9.56,277.29,200.63,366.55,542.11,224.5,544.82,35.16,242.99
40,Australia,Debris,1999,1999,1953.81,1912.65,1983.63,LEO,Active,258.78,571.03,925.72,255.38,293.97,756.86,392.25,593.34,170.29,13.68,334.49,239.18,950.18,42.64,965.75,939.3,320.5,232.38,425.8,897.03,409.37,554.88,407.87,750.89,147.06,577.08,868.46,902.21,693.61,426.11,198.33,84.82,964.46,924.05,796.56,98.29,977.69,404.18,726.12,458.23
41,South Korea,Payload,1997,1997,27989.25,27945.73,28039.04,GEO,Active,492.62,390.44,563.04,865.91,520.49,232.82,672.02,334.04,917.38,702.66,907.78,831.06,491.65,83.34,610.29,281.89,812.93,698.56,210.76,623.78,558.49,727.7,376.13,806.39,822.28,538.46,421.74,871.28,777.29,809.67,101.7,199.06,113.38,437.18,984.31,359.69,214.37,670.12,217.7,516.3
42,India,Payload,2006,2006,21984.01,21975.65,22013.24,GEO,Active,410.74,555.88,337.66,426.11,184.18,727.96,920.26,325.14,452.39,325.67,25.85,435.72,108.44,327.73,352.95,607.91,994.51,303.44,618.77,31.39,855.5,655.3,803.08,709.89,409.07,41.63,307.02,675.51,76.13,164.96,98.71,401.63,979.57,716.26,382.41,416.4,259.59,890.11,82.24,31.78
43,Russia,Debris,1999,1999,35582.55,35561.35,35592.84,GEO,Active,512.63,846.42,282.59,159.84,395.65,204.57,253.79,269.13,820.48,537.41,515.87,955.34,388.19,886.96,962.87,937.5,730.45,530.14,262.58,31.11,772.58,585.3,972.57,101.83,443.93,450.11,156.43,75.48,11.01,430.18,589.28,118.78,723.58,899.77,446.17,677.65,524.96,829.74,231.62,56.15
44,Russia,Payload,2005,2005,12313.74,12303.76,12324.96,MEO,Active,556.84,560.56,554.36,408.49,929.71,896.51,121.23,976.48,232.57,805.42,537.5,632.25,348.01,783.29,292.63,662.56,56.27,528.94,187.6,432.91,945.72,437.39,861.57,580.62,254.44,943.79,594.29,285.48,526.14,738.09,814.77,362.09,539.87,373.66,757.76,846.87,171.71,453.22,806.72,149.4
45,Israel,Debris,1990,1990,10978.38,10955.24,11004.47,MEO,Inactive,918.68,887.03,568.23,805.85,356.72,101.45,686.16,830.11,87.28,297.46,226.22,675.04,953.58,530.61,116.04,526.41,38.12,352.41,77.84,444.05,717.11,27.09,451.86,34.79,929.53,212.67,23.13,788.7,239.39,340.6,195.65,897.99,954.78,457.32,55.7,947.57,712.52,180.21,82.85,317.26
46,Brazil,Debris,1996,1996,17300.55,17268.24,17339.54,MEO,Active,182.59,821.78,580.72,666.92,755.86,673.09,385.19,579.21,863.44,231.52,617.99,686.62,190.13,529.68,54.75,182.1,347.27,609.67,305.73,983.06,811.14,456.64,520.34,930.05,358.32,281.82,933.99,27.18,196.7,501.15,222.26,527.28,50.14,602.42,698.36,310.65,664.71,741.17,112.65,933.39
47,Australia,Debris,2013,2013,3449.68,3428.18,3465.14,MEO,Inactive,453.36,967.71,308.33,61.22,704.54,967.86,329.25,3.67,613.65,956.98,621.55,908.16,232.19,779.76,250.72,848.39,872.96,673.33,806.69,507.47,357.23,81.37,496.32,815.02,993.92,325.15,555.05,568.45,664.83,120.41,256.46,284.29,933.32,790.32,911.2,366.12,802.03,785.44,247.72,513.22
48,China,Rocket Body,2021,2021,5334.75,5293.53,5371.27,MEO,Inactive,75.49,365.06,59.88,224.98,332.75,647.63,887.26,299.54,92.79,968.15,515.38,165.25,531.33,153.01,771.46,236.16,169.63,178.85,170.67,926.35,185.98,867.0,140.03,735.42,205.5,310.85,157.02,239.26,494.36,645.0,404.73,80.07,120.7,727.27,416.49,743.68,654.37,76.12,215.29,93.79
49,India,Debris,2020,2020,2016.38,2000.37,2037.01,MEO,Inactive,909.09,430.33,515.5,11.01,198.74,348.45,865.74,712.23,928.31,528.21,388.82,25.79,16.67,40.73,219.59,570.57,332.55,963.01,528.35,659.95,456.09,469.68,334.03,128.54,728.61,208.17,914.77,866.92,494.74,127.55,620.28,264.17,390.21,667.17,907.51,392.44,184.23,816.0,870.61,651.51
50,Canada,Payload,1994,1994,845.74,837.65,858.56,LEO,Active,439.25,166.87,567.49,924.61,432.82,116.13,755.45,776.51,931.36,580.53,899.51,795.27,908.46,237.34,183.19,54.23,87.75,904.76,281.93,666.63,855.13,15.71,867.94,990.04,611.18,781.48,735.01,538.12,453.48,453.16,997.99,6.23,657.75,766.16,594.96,712.97,229.95,122.08,362.13,780.24
51,Brazil,Debris,2022,2022,22104.66,22069.08,22146.33,GEO,Active,727.65,236.13,333.76,615.57,777.68,59.45,762.18,339.26,132.18,792.79,735.98,502.02,3.58,973.28,719.7,396.02,164.33,276.06,459.94,711.57,584.31,950.09,860.69,25.06,223.42,980.61,368.21,672.04,103.0,242.43,521.35,182.32,189.41,662.98,35.55,700.67,277.98,16.51,757.62,546.29
52,Italy,Payload,2009,2009,27468.64,27459.58,27509.56,GEO,Active,292.39,450.38,536.59,62.09,667.39,595.67,229.36,712.47,474.78,495.48,411.64,810.08,790.45,866.57,710.58,211.01,291.5,924.62,638.51,856.67,341.36,721.44,358.26,618.31,637.29,72.89,185.95,706.02,632.29,205.77,16.81,368.04,196.55,716.16,124.74,789.72,936.52,730.8,14.26,359.88
53,France,Debris,2008,2008,3488.93,3451.43,3516.94,MEO,Active,783.65,99.27,519.49,273.36,999.02,841.38,722.49,801.42,576.86,431.37,338.38,313.0,975.84,344.31,461.64,913.61,854.51,693.31,237.27,209.2,494.26,976.99,43.53,131.3,421.86,888.54,246.19,745.88,432.02,744.18,932.69,229.39,634.2,772.75,718.7,14.08,858.46,971.75,702.63,340.56
54,Canada,Debris,2003,2003,22306.12,22261.13,22312.91,GEO,Inactive,480.94,187.94,834.9,238.73,529.81,47.33,717.97,636.35,152.76,663.95,603.76,158.81,467.01,707.84,119.45,440.33,163.56,914.17,863.41,993.34,663.6,642.91,363.07,219.65,272.05,874.62,338.07,955.22,807.1,811.14,248.31,107.4,700.55,602.69,11.4,108.07,270.06,480.41,978.38,726.33
55,France,Rocket Body,1998,1998,4107.86,4076.57,4132.5,MEO,Inactive,723.14,517.7,937.52,789.04,305.21,448.47,119.86,302.58,176.48,60.14,188.53,392.54,516.49,486.26,467.11,72.02,720.06,753.18,965.42,329.17,427.68,311.86,932.82,701.76,866.15,535.67,849.54,851.83,692.32,166.34,136.94,147.7,888.09,572.19,88.57,106.85,916.94,737.3,605.26,986.12
56,Canada,Rocket Body,2007,2007,1659.41,1619.25,1671.74,LEO,Active,432.02,300.8,687.63,452.44,247.73,386.28,193.72,679.06,893.88,117.61,193.93,802.5,135.83,830.1,292.81,792.18,786.56,534.18,654.59,609.23,116.26,858.56,525.33,921.27,532.72,686.33,243.84,97.79,862.56,660.7,268.53,871.49,562.51,959.79,885.3,289.93,124.92,789.49,533.69,451.64
57,South Korea,Debris,2003,2003,19370.96,19332.52,19381.31,MEO,Inactive,965.7,329.27,531.32,677.53,570.6,596.33,955.48,26.54,523.45,116.53,105.37,923.92,73.13,482.49,692.54,649.13,766.7,383.35,839.16,856.5,950.38,816.59,880.17,210.27,342.64,990.36,704.0,730.46,679.62,53.61,477.26,528.09,275.38,301.42,165.69,683.92,912.13,156.43,474.89,715.8
58,France,Debris,2013,2013,15343.71,15342.8,15363.51,MEO,Inactive,495.61,532.94,731.35,355.8,756.58,365.73,507.51,214.24,39.28,69.86,488.02,978.81,641.47,587.03,81.38,509.57,276.02,286.51,859.29,528.86,150.85,799.42,823.47,417.95,911.73,808.03,634.59,463.16,728.77,20.07,666.32,839.59,216.39,493.59,750.41,158.87,121.62,322.03,245.32,87.71
59,India,Rocket Body,2005,2005,24947.23,24910.64,24982.66,GEO,Inactive,90.42,650.24,658.23,959.03,50.86,95.43,807.78,969.62,28.43,891.62,884.54,441.13,844.68,83.49,829.71,168.55,389.17,448.58,308.49,456.86,911.66,291.15,865.03,292.06,664.96,830.92,240.11,482.88,106.8,380.34,679.81,452.75,269.1,992.18,755.99,367.59,759.98,796.45,499.89,334.12
60,Russia,Debris,2022,2022,25258.7,25256.16,25266.99,GEO,Active,295.56,77.91,997.92,396.37,637.13,364.2,872.26,919.39,900.68,582.81,748.53,454.61,511.65,63.84,156.29,315.29,437.76,265.74,243.53,452.47,233.64,761.34,351.86,428.42,99.6,295.23,304.17,632.42,532.22,974.82,779.62,358.69,883.67,939.28,123.73,132.04,766.11,394.39,148.95,837.03
61,Canada,Payload,2019,2019,19808.37,19758.62,19822.61,MEO,Inactive,349.9,305.54,840.25,64.16,253.29,92.32,797.29,294.37,909.19,292.06,673.78,48.51,796.95,914.21,947.7,549.3,221.72,597.73,140.06,85.36,842.22,68.25,635.51,269.68,183.52,639.61,396.34,805.28,622.96,163.49,482.21,749.49,213.94,790.41,510.59,91.0,784.89,162.49,644.12,45.13
62,Japan,Payload,1993,1993,22410.63,22370.92,22460.25,GEO,Inactive,52.36,359.19,653.07,382.06,267.58,935.83,986.56,147.31,33.89,687.42,607.88,713.93,782.06,381.45,537.8,529.51,183.46,259.05,818.56,897.13,496.63,466.97,524.65,926.83,733.24,26.25,736.55,293.09,688.03,415.84,965.06,552.98,988.33,137.91,634.29,670.99,654.33,984.75,519.73,970.36
63,Germany,Rocket Body,1991,1991,23909.55,23881.26,23944.04,GEO,Inactive,443.9,238.16,818.89,502.24,637.11,940.56,409.44,150.35,129.4,791.99,984.29,780.69,749.96,595.64,80.54,414.05,752.36,0.29,479.39,91.09,913.97,778.77,654.79,715.39,776.66,418.64,321.65,871.27,57.35,993.41,544.39,684.1,149.84,62.18,265.26,470.82,899.41,501.63,224.07,123.13
64,Japan,Rocket Body,2012,2012,4880.67,4868.6,4894.51,MEO,Active,257.46,499.59,380.34,142.79,693.97,356.01,257.47,367.44,881.12,929.43,300.34,381.81,463.77,738.64,418.91,757.39,594.24,539.55,186.08,251.37,488.05,305.9,265.86,938.56,373.66,57.47,562.56,2.88,745.48,801.03,304.65,870.54,26.22,6.91,498.77,404.44,903.01,314.81,420.54,542.86
65,Russia,Payload,1993,1993,18670.68,18633.83,18696.23,MEO,Active,470.01,670.15,475.87,189.59,672.87,846.46,817.05,72.05,133.28,548.44,285.78,453.66,891.08,744.51,242.24,227.13,946.65,746.46,741.43,715.1,67.79,0.64,606.59,342.79,847.22,608.15,270.78,872.14,532.95,506.78,420.19,710.08,848.8,781.73,44.65,716.46,935.62,115.8,564.13,539.74
66,Australia,Debris,2006,2006,23343.4,23336.61,23350.1,GEO,Inactive,469.1,536.29,739.66,453.36,835.12,726.33,758.13,479.01,234.2,754.81,683.13,267.28,496.03,275.74,767.87,33.54,880.37,555.15,803.97,309.78,582.41,655.69,879.69,738.41,345.22,506.55,688.29,595.36,440.16,911.97,752.02,551.16,841.23,580.4,315.35,842.15,630.23,582.84,228.83,117.98
67,Japan,Rocket Body,2019,2019,14931.82,14931.69,14931.99,MEO,Active,637.89,12.88,987.32,255.17,456.42,165.97,701.45,859.11,870.78,375.55,504.54,126.04,691.38,285.98,524.29,535.26,245.59,405.45,649.82,720.73,569.14,805.55,496.52,765.36,508.82,846.91,969.87,554.23,851.54,54.78,856.69,570.35,874.14,892.38,418.87,610.64,122.12,252.72,850.49,186.92
