id,country,object_type,launch_year,altitude_km,orbit_type,status,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43
11,United Kingdom,Payload,1990,27009.57,GEO,Active,226.27,562.66,235.02,454.57,60.38,336.76,101.64,257.17,103.41,203.53,943.25,266.5,157.01,34.1,987.42,717.03,333.14,395.61,538.31,25.22,983.81,178.55,508.57,418.82,5.69,239.02,443.19,35.41,799.5,143.55,190.91,526.02,352.51,29.77,602.18,616.96,742.83,621.22,589.96,858.86,932.55,634.17,626.21
12,United States,Rocket Body,2016,24362.2,GEO,Active,181.22,66.56,540.95,454.95,814.99,973.01,274.65,910.26,432.53,338.65,135.72,124.37,580.28,451.35,159.45,693.16,395.56,715.89,941.33,67.82,212.64,87.58,593.77,380.45,46.7,708.37,395.27,126.31,28.95,949.51,421.32,466.16,723.0,5.35,338.95,553.61,313.29,806.3,17.72,142.2,981.95,534.88,249.68
13,United States,Rocket Body,1979,16793.83,MEO,Active,850.68,225.33,384.5,596.73,91.0,142.03,390.56,733.99,616.85,522.75,693.41,859.78,751.38,334.62,13.34,538.28,158.95,958.9,21.49,971.46,915.39,864.62,655.82,6.87,62.38,437.6,345.84,116.19,591.32,564.72,358.06,848.18,840.93,269.2,187.41,877.91,246.69,623.25,347.09,779.49,850.18,841.33,997.71
14,Israel,Rocket Body,1977,23288.85,GEO,Inactive,465.56,605.24,964.76,668.31,225.79,366.37,113.18,415.59,119.77,745.39,851.64,728.18,953.41,408.87,285.43,627.62,482.64,920.4,92.69,338.51,286.71,756.93,363.9,470.25,521.75,286.68,606.46,381.11,774.36,86.96,383.83,108.91,317.47,405.17,948.49,471.15,271.84,569.64,189.52,268.46,298.18,298.1,827.32
15,Italy,Rocket Body,1967,7968.81,MEO,Inactive,444.23,437.04,674.91,886.54,548.87,798.74,108.06,21.63,609.55,659.4,113.44,865.44,690.25,279.94,767.13,679.33,272.07,135.25,108.16,835.12,65.9,41.37,416.42,536.5,663.47,921.68,768.87,773.14,640.69,923.8,986.56,849.95,136.54,355.99,579.48,39.71,404.87,160.4,2.01,832.45,956.1,753.08,958.87
16,Japan,Debris,1971,22892.79,GEO,Active,230.56,616.53,128.45,250.63,858.23,208.61,761.81,480.88,400.0,875.23,13.27,708.18,560.98,287.54,350.23,703.9,978.0,981.7,234.74,256.97,428.6,111.84,311.92,243.01,630.64,894.42,454.48,880.51,494.46,781.39,969.02,335.25,697.78,470.36,250.39,78.36,869.89,359.07,148.81,961.49,442.44,559.46,567.86
17,South Korea,Payload,1970,12341.14,MEO,Active,404.18,627.88,844.15,28.64,772.18,12.18,944.74,795.91,38.61,210.34,287.39,164.94,911.69,281.08,291.0,179.45,66.12,266.92,166.55,978.72,245.73,97.62,972.97,74.64,473.28,21.05,824.92,325.86,959.35,379.13,36.15,329.25,56.63,749.93,974.27,331.52,861.8,200.5,381.55,156.38,590.53,35.24,382.24
18,UAE,Payload,2016,1467.14,LEO,Active,772.33,148.87,80.1,158.39,426.95,447.7,194.57,188.19,612.08,529.74,344.48,581.68,763.4,781.14,514.14,413.08,920.09,504.92,82.28,455.9,952.39,680.52,692.55,70.46,460.09,902.19,796.42,55.94,36.45,285.53,346.42,900.2,214.37,905.73,777.89,208.24,165.15,859.81,687.39,134.08,336.02,33.51,88.92
19,India,Rocket Body,1966,11865.24,MEO,Active,419.92,897.44,566.87,527.6,506.07,480.71,564.82,867.51,655.25,524.34,869.95,321.3,963.99,738.53,188.53,512.22,95.39,249.19,2.68,924.02,204.57,357.3,66.26,51.4,20.6,909.22,250.52,968.68,205.17,633.97,892.34,310.93,949.08,714.01,792.66,926.15,916.16,698.68,166.55,200.97,331.04,213.65,72.96
20,Brazil,Rocket Body,1976,2457.36,MEO,Inactive,168.32,854.47,543.26,383.15,965.66,412.99,967.4,485.74,846.7,15.97,877.92,338.05,371.97,454.8,870.47,681.52,314.14,175.51,706.26,485.45,700.69,215.93,660.52,727.63,807.22,106.62,809.93,126.18,84.38,126.3,807.04,968.34,49.53,37.81,493.04,984.76,924.33,256.22,618.03,409.17,835.87,985.67,343.17
21,Israel,Debris,1976,22890.91,GEO,Inactive,824.43,307.51,79.32,536.41,585.72,553.47,351.67,974.37,431.42,198.44,153.37,180.44,275.87,677.94,340.41,970.49,188.03,286.31,133.22,724.18,337.13,415.78,443.74,856.88,693.66,561.27,177.57,895.41,413.1,526.22,794.81,619.14,877.16,177.69,488.63,503.88,388.53,723.66,454.54,29.22,418.57,962.9,268.75
22,Australia,Rocket Body,1966,13766.56,MEO,Inactive,110.17,978.95,175.67,724.61,103.18,803.69,545.72,110.64,269.7,703.08,593.13,878.77,851.29,751.23,382.28,564.62,598.25,541.13,198.99,477.67,585.01,680.51,26.56,418.27,188.43,253.28,9.91,9.55,271.02,288.79,13.04,124.5,474.19,183.85,514.77,83.89,484.82,241.52,31.72,815.19,644.92,290.32,764.04
23,Canada,Debris,1964,15225.78,MEO,Inactive,822.53,263.85,294.81,900.53,205.84,760.36,373.02,748.92,560.98,703.14,63.6,426.09,493.16,448.04,236.2,561.66,217.67,978.64,469.82,709.59,200.69,309.25,109.52,506.57,579.62,687.39,984.77,541.33,604.84,925.81,4.54,435.55,963.72,111.23,228.25,700.57,219.65,662.75,47.8,400.6,710.12,330.05,274.87
24,Japan,Rocket Body,1993,19405.75,MEO,Active,377.34,447.24,561.31,578.4,147.76,472.97,337.5,85.72,323.91,547.64,904.89,722.82,432.56,225.26,930.07,4.51,222.82,141.05,184.61,621.93,890.39,579.39,809.3,940.8,752.41,769.11,682.49,325.93,41.99,110.21,904.95,936.7,760.67,663.44,932.19,733.62,200.97,809.4,197.74,780.07,432.97,331.22,937.41
25,Australia,Debris,1984,19689.0,MEO,Active,859.62,970.27,167.1,852.64,503.73,356.44,54.4,510.68,846.52,29.23,456.28,362.38,427.08,732.69,186.4,703.56,746.43,834.1,53.67,706.42,7.47,55.34,728.54,891.6,356.79,230.86,410.86,897.33,41.14,510.4,311.98,743.39,425.74,246.72,610.26,736.48,518.64,815.74,379.89,59.62,95.9,56.03,879.13
26,Israel,Payload,1960,35401.53,GEO,Inactive,882.77,956.16,83.55,192.52,21.96,869.91,460.36,646.96,695.44,493.16,944.72,345.91,708.82,304.78,860.03,174.97,83.11,415.21,741.65,24.27,786.4,902.28,598.37,929.33,618.12,873.33,413.27,656.97,128.09,795.57,668.21,236.85,826.71,221.29,904.51,94.88,189.69,61.09,307.26,39.14,120.11,56.97,655.26
27,Israel,Payload,1978,10357.77,MEO,Active,591.19,199.97,355.74,561.33,640.63,437.22,23.81,588.12,899.81,986.36,385.46,771.94,947.64,166.21,70.25,217.3,861.39,498.42,450.67,322.53,515.0,721.42,960.66,582.7,244.54,988.84,650.48,465.23,830.21,560.26,815.04,442.19,883.96,574.31,637.67,261.38,563.26,528.17,544.27,582.44,616.02,703.46,101.54
28,Russia,Payload,1979,1759.72,LEO,Inactive,966.32,685.03,886.23,816.86,41.84,28.03,268.42,905.93,648.68,610.53,609.93,210.09,477.36,430.08,930.82,784.49,372.22,950.27,987.95,209.54,523.12,728.37,552.19,618.99,692.62,163.59,431.0,391.8,384.25,989.36,342.66,947.45,14.66,849.46,873.73,286.45,766.97,659.18,275.81,640.11,578.08,898.95,545.19
29,Australia,Rocket Body,1963,1383.48,LEO,Inactive,814.45,197.16,256.39,398.0,966.62,381.11,131.2,438.07,542.48,647.24,403.51,301.88,14.74,884.8,240.31,459.0,558.25,452.37,499.52,864.99,772.25,127.56,286.81,237.31,374.99,477.7,680.93,539.26,863.3,204.21,231.18,664.38,282.75,168.36,885.64,34.83,408.81,565.23,380.79,674.73,66.15,432.74,770.98
30,India,Rocket Body,2024,18433.94,MEO,Inactive,951.58,329.94,825.61,880.86,491.65,574.53,683.6,32.24,786.31,390.21,341.8,66.2,295.57,366.42,255.88,708.45,889.35,53.18,478.28,683.07,123.98,442.41,539.4,405.56,49.93,803.29,434.59,9.58,81.91,87.2,771.48,94.31,297.03,185.79,613.73,33.51,83.61,776.76,507.12,195.27,291.86,415.97,798.04
31,India,Debris,1967,24567.49,GEO,Inactive,246.17,884.57,283.52,447.32,118.13,995.57,553.07,578.64,375.41,904.98,222.59,633.12,137.74,874.34,311.27,549.8,975.73,557.27,478.31,174.12,79.4,992.34,848.91,934.35,374.12,733.94,845.06,410.83,698.69,508.86,64.31,289.2,710.66,403.23,25.68,783.82,778.56,213.85,715.31,270.04,788.34,468.69,51.84
32,France,Payload,2011,19636.21,MEO,Inactive,971.54,38.43,12.76,144.24,937.28,172.19,958.86,787.74,314.59,130.12,638.44,365.88,132.35,383.89,318.65,169.16,63.44,262.71,919.52,636.61,294.52,776.14,460.33,877.05,363.04,468.76,819.02,896.56,571.84,947.26,111.75,159.75,546.86,421.77,343.04,747.44,852.77,769.27,640.28,548.4,63.43,164.19,307.65
33,France,Rocket Body,1966,16422.06,MEO,Inactive,995.71,658.29,68.08,742.12,455.93,974.38,848.84,725.3,94.94,387.37,693.71,72.89,407.75,311.1,506.98,600.27,57.64,280.52,965.94,513.53,425.29,668.41,330.23,548.06,787.19,985.47,970.79,512.02,815.46,841.0,2.59,859.68,965.4,551.06,308.3,535.51,476.93,460.11,12.71,422.55,844.48,930.36,243.89
34,Germany,Debris,2024,21536.02,GEO,Inactive,438.14,204.65,609.23,296.01,172.43,387.27,834.71,768.56,422.97,630.95,917.6,756.53,661.95,309.42,318.34,900.06,953.95,810.56,661.85,973.59,704.9,825.66,214.62,167.53,216.57,558.02,499.95,316.06,588.66,63.61,630.01,711.6,186.58,711.45,689.97,100.26,72.03,454.0,204.83,808.23,318.03,493.54,770.21
35,Israel,Payload,1965,21710.62,GEO,Inactive,600.11,714.16,512.69,79.2,648.93,695.09,739.45,226.3,37.32,846.79,675.03,537.85,512.04,249.07,977.87,124.8,961.34,578.3,323.41,48.08,723.53,968.27,995.11,214.12,65.07,287.26,608.96,423.13,277.72,628.23,107.01,997.96,360.91,450.3,420.79,768.62,53.27,630.7,93.96,341.44,288.77,628.84,958.09
36,Germany,Rocket Body,2016,7638.38,MEO,Inactive,713.91,61.02,143.06,591.73,764.47,370.21,889.1,601.27,61.35,415.66,925.3,747.03,502.46,97.16,658.16,166.56,918.46,413.06,59.4,981.71,650.6,815.63,892.69,116.37,693.76,915.05,479.15,285.28,667.82,595.7,730.56,932.55,348.84,607.23,945.58,221.33,255.94,54.74,827.56,93.98,230.23,943.15,702.62
37,United States,Payload,2005,30049.21,GEO,Inactive,689.02,353.17,754.61,161.3,875.9,895.31,319.1,512.71,767.71,997.51,889.41,431.23,355.85,739.28,513.8,2.1,17.48,91.11,953.18,500.78,79.36,260.93,328.91,53.06,577.96,862.29,127.98,75.35,761.07,227.56,686.95,771.99,796.2,436.07,720.06,405.47,473.99,584.69,687.64,537.35,973.44,106.89,744.7
38,South Korea,Rocket Body,1981,13683.66,MEO,Active,317.67,325.42,523.45,579.75,292.15,921.52,963.45,876.06,289.33,923.68,621.89,12.76,945.2,339.25,882.2,385.7,816.64,871.93,49.33,174.21,875.12,637.13,477.63,29.91,997.54,969.38,34.84,252.52,646.08,965.08,45.75,405.67,742.28,192.01,794.95,974.56,884.31,815.27,536.7,901.98,521.33,759.41,628.81
39,India,Debris,1963,3445.71,MEO,Inactive,937.33,514.02,387.11,42.31,804.42,371.56,604.27,339.88,451.63,781.78,518.96,997.74,920.24,25.14,104.0,913.31,203.8,78.31,51.73,445.57,245.32,414.01,14.0,790.93,37.77,433.26,880.3,844.3,398.26,442.0,670.33,695.58,630.86,253.79,299.04,678.33,993.1,293.35,817.78,500.98,249.12,814.11,541.44
40,Australia,Rocket Body,1967,7978.15,MEO,Inactive,253.84,49.11,636.05,461.46,160.96,157.76,57.14,757.04,398.01,791.61,735.55,448.25,998.55,862.28,865.62,270.05,932.08,606.74,6.08,883.42,484.41,48.2,714.81,560.17,697.68,184.76,294.58,879.1,16.94,292.85,204.21,61.47,952.4,564.56,60.75,997.84,497.78,432.48,747.15,677.46,15.51,161.82,685.44
41,United Kingdom,Payload,1979,6259.22,MEO,Active,675.44,991.39,408.53,253.23,251.27,921.42,504.64,235.74,424.36,892.41,957.8,190.59,225.45,491.32,447.61,291.56,610.28,62.42,876.54,10.5,801.3,409.57,671.84,449.6,293.09,925.87,393.64,962.53,223.75,114.37,379.29,826.9,855.47,807.97,27.52,344.18,840.06,681.21,349.85,722.49,562.68,438.02,848.65
42,United States,Rocket Body,1991,18278.87,MEO,Inactive,31.3,983.93,811.17,315.1,953.13,411.29,905.53,403.6,628.51,529.26,292.12,740.88,426.96,914.7,31.05,194.18,661.02,277.23,507.52,368.39,888.85,238.5,787.01,888.59,951.84,190.75,471.95,458.41,177.3,607.61,667.45,172.84,651.85,444.79,132.09,245.02,243.41,371.84,169.19,657.04,380.13,8.88,161.05
43,Italy,Rocket Body,2023,34707.05,GEO,Inactive,355.56,416.78,798.73,33.15,739.91,252.36,148.67,960.74,637.1,851.49,536.33,180.48,554.65,926.87,716.29,262.85,935.77,794.56,956.62,694.17,193.39,454.11,291.27,526.08,490.31,446.84,217.0,590.89,236.7,100.74,796.98,602.5,263.86,934.96,775.45,963.52,583.3,454.02,506.96,623.62,947.65,133.05,765.25
44,Japan,Debris,1977,21367.59,GEO,Inactive,743.83,608.75,62.2,106.97,284.82,689.45,988.93,488.88,773.86,663.67,138.97,650.6,58.92,179.69,43.29,685.6,792.76,416.16,495.29,940.56,221.96,100.88,203.75,791.23,339.07,391.89,671.68,714.27,713.86,657.73,13.54,332.46,792.11,142.12,858.99,480.16,423.11,244.98,533.83,868.19,900.92,961.87,598.82
45,South Korea,Rocket Body,1989,27249.61,GEO,Active,614.04,627.9,39.75,614.27,797.94,750.11,692.47,340.49,225.79,216.15,916.08,546.8,929.08,22.27,922.27,915.11,503.55,470.68,196.61,302.21,447.99,758.81,658.94,361.36,710.14,755.69,584.31,211.4,510.15,320.13,914.35,994.21,355.79,320.58,599.75,834.62,107.9,947.97,158.58,669.88,934.23,448.21,368.92
46,United States,Debris,1960,31625.45,GEO,Active,234.4,940.08,65.81,564.41,86.49,331.67,999.83,901.94,78.49,718.37,785.98,548.76,953.72,210.07,351.99,744.19,821.3,381.96,576.22,3.39,742.61,270.85,464.48,215.35,686.44,546.11,423.71,276.8,695.43,589.32,456.25,371.1,167.81,319.43,704.35,491.8,901.4,574.61,978.64,978.4,609.57,815.16,839.12
47,Australia,Payload,2015,28269.63,GEO,Active,516.11,178.5,649.02,129.63,623.75,483.44,992.41,876.09,235.81,79.03,30.57,865.33,604.35,487.48,129.42,511.85,689.64,147.67,53.89,279.52,369.18,956.44,445.28,150.02,927.95,759.6,439.73,276.7,92.44,145.55,851.29,490.59,535.44,385.71,568.77,361.42,929.93,201.9,444.52,187.44,554.43,738.51,947.39
48,United States,Payload,2016,14978.77,MEO,Inactive,399.76,954.45,338.62,432.85,751.28,604.01,893.73,958.71,500.46,636.37,917.37,13.24,467.33,268.27,153.26,528.45,531.1,964.57,25.89,805.87,819.67,41.65,50.95,838.95,73.58,916.24,575.8,761.96,40.29,314.86,840.16,590.06,102.96,3.81,379.41,774.52,804.28,278.47,958.92,161.69,330.37,330.9,664.45
49,China,Debris,2003,6517.08,MEO,Inactive,920.24,342.63,490.75,8.15,590.7,95.0,897.35,845.84,316.67,517.02,379.32,704.83,401.4,763.71,741.69,128.19,100.17,263.33,979.33,212.95,818.39,946.56,339.62,648.35,712.36,592.68,328.76,443.68,523.75,226.22,358.81,113.76,557.71,535.53,470.6,521.76,154.52,784.31,47.64,462.27,215.25,174.72,875.49
50,UAE,Rocket Body,1976,32901.88,GEO,Active,123.25,795.42,964.62,507.38,673.11,777.47,983.56,799.48,975.25,774.47,38.71,130.71,80.63,361.38,649.94,912.28,344.99,773.51,569.61,582.08,503.39,466.08,874.28,39.65,607.11,960.71,565.19,536.67,923.29,605.67,273.42,885.09,983.37,992.46,477.74,819.96,751.38,530.54,57.99,27.96,339.79,354.95,906.9
51,China,Payload,2007,4698.28,MEO,Inactive,909.11,12.91,894.77,613.55,656.53,502.41,445.65,965.06,325.41,665.05,323.45,864.49,139.58,238.59,385.88,640.88,242.19,705.37,362.87,693.86,433.74,487.23,895.94,874.31,75.23,170.49,588.29,372.32,944.62,946.53,19.59,471.0,791.08,368.69,833.41,649.98,76.31,668.1,343.89,705.25,762.15,155.43,321.36
52,Canada,Rocket Body,1977,1170.19,LEO,Inactive,719.94,506.0,520.66,732.38,591.84,802.21,114.78,559.78,596.09,650.04,247.03,787.66,303.68,678.5,315.32,514.67,953.37,587.67,888.12,600.8,540.1,892.36,727.57,186.86,538.49,615.33,951.56,353.83,881.99,361.73,74.39,818.42,872.34,632.14,707.0,969.36,20.32,200.63,461.33,498.76,46.36,469.33,309.01
53,Germany,Rocket Body,1985,19790.24,MEO,Active,767.14,758.94,893.0,614.77,656.08,923.58,295.93,345.59,123.2,309.33,273.31,399.73,142.03,994.91,57.88,921.23,749.4,82.76,0.97,266.38,729.86,788.2,240.94,217.32,837.58,984.24,867.18,424.6,963.41,670.04,776.52,543.58,528.97,497.3,432.84,877.29,612.16,444.53,67.36,26.27,613.78,100.45,38.26
54,Israel,Debris,2025,26821.42,GEO,Inactive,970.98,862.5,415.11,967.88,984.01,73.79,835.69,926.76,291.03,371.94,981.32,437.64,413.25,129.65,555.22,79.7,475.26,816.04,586.89,5.81,727.99,547.29,292.54,26.87,406.53,56.91,294.17,359.5,281.78,164.32,76.11,351.9,261.39,722.0,191.05,79.47,301.91,984.99,845.63,557.96,696.46,565.54,283.6
55,UAE,Payload,2004,18703.61,MEO,Active,182.86,342.65,526.97,69.25,258.16,936.98,995.82,99.11,333.1,740.71,243.48,702.16,422.6,16.91,640.63,972.44,952.08,728.45,842.85,982.93,908.51,448.98,535.18,522.16,790.94,90.82,955.29,203.0,765.21,243.41,499.81,420.58,617.14,750.62,658.18,859.88,804.26,125.63,388.65,682.89,505.11,236.98,624.89
56,France,Payload,1999,26580.65,GEO,Active,486.73,281.52,325.5,831.86,939.73,972.22,117.66,361.67,91.58,622.94,794.29,829.02,903.02,879.96,593.93,99.18,171.03,898.19,698.36,969.15,875.44,783.52,891.18,36.02,786.66,583.93,843.28,245.97,212.27,592.05,93.58,455.99,317.9,958.02,61.67,471.45,819.44,126.87,648.34,682.41,6.0,449.35,565.71
57,Germany,Rocket Body,2001,909.22,LEO,Inactive,591.16,360.28,316.85,470.17,255.53,587.81,35.47,409.67,563.35,868.92,802.02,516.4,18.69,105.37,751.56,743.3,883.85,569.99,290.44,134.93,424.45,290.52,450.3,388.1,439.8,59.42,408.45,585.01,515.25,118.24,131.02,95.82,786.56,640.68,332.62,232.96,298.13,924.11,862.55,306.99,53.08,116.4,809.06
58,UAE,Payload,1961,16281.4,MEO,Active,478.98,746.78,972.83,104.57,908.96,506.55,262.25,86.36,892.62,923.51,349.81,432.18,67.43,558.97,369.64,751.36,79.41,600.97,240.01,725.66,825.99,217.33,591.71,689.51,756.32,713.02,541.29,668.47,345.43,475.58,927.6,589.37,391.93,658.42,589.71,341.21,829.32,40.95,907.91,5.1,917.26,764.06,236.7
59,Germany,Debris,1995,29218.95,GEO,Inactive,257.16,734.59,831.5,692.49,992.75,225.82,588.39,759.95,432.01,843.08,650.04,602.13,229.38,393.8,890.78,540.29,32.42,992.91,351.35,161.57,619.72,231.92,480.56,494.84,386.7,168.22,13.58,391.48,861.67,521.5,6.95,855.18,954.16,945.14,748.87,90.33,573.85,31.0,281.85,338.97,969.15,971.16,700.13
60,South Korea,Payload,1988,7691.99,MEO,Active,751.99,106.6,705.07,409.69,721.38,511.77,699.22,105.56,605.44,226.89,873.76,433.14,210.07,403.98,178.42,44.9,402.19,797.27,736.2,237.22,962.13,810.88,318.63,974.72,189.35,70.52,443.35,900.83,193.74,341.93,128.2,782.27,743.16,269.79,186.27,779.67,897.8,907.43,687.92,601.67,70.91,381.7,24.97
61,UAE,Rocket Body,1962,30239.44,GEO,Active,606.91,891.81,628.77,71.48,211.8,811.29,815.22,209.18,248.16,713.52,372.49,946.07,611.62,902.71,94.85,956.62,136.36,470.1,894.37,361.71,483.46,345.11,202.51,48.17,496.63,248.43,635.29,430.37,521.73,42.11,324.57,710.59,96.21,182.29,927.69,123.73,483.8,26.24,654.83,72.78,824.16,328.39,437.73
62,Germany,Rocket Body,1996,27187.51,GEO,Active,452.84,472.06,186.67,690.64,33.43,195.42,901.89,712.89,685.66,24.69,213.84,627.03,594.74,979.01,289.42,355.62,360.1,959.36,803.41,366.3,110.17,732.13,844.43,406.66,210.22,548.18,136.44,673.52,347.51,416.9,343.23,687.83,565.26,46.28,438.6,405.49,863.79,79.12,54.22,974.54,81.74,143.86,571.11
63,Japan,Debris,1978,30994.12,GEO,Inactive,778.98,218.91,203.01,570.4,688.9,293.13,236.19,906.43,49.54,342.51,690.73,790.42,950.76,590.14,448.59,283.08,127.77,789.83,338.87,780.56,436.03,149.01,847.42,816.24,855.75,894.95,17.76,581.51,167.56,645.84,636.16,400.62,781.58,632.07,620.49,466.72,573.7,199.3,144.71,265.98,81.92,53.96,936.69
64,Canada,Payload,1967,12702.76,MEO,Inactive,757.43,393.89,33.87,710.78,159.65,739.91,983.75,198.17,627.79,789.93,514.86,220.11,462.19,762.94,290.39,812.94,196.66,110.2,75.22,18.2,881.62,281.83,644.53,474.18,320.69,60.37,109.27,818.77,719.75,136.7,740.89,141.05,731.46,620.24,367.33,824.63,157.65,548.29,49.74,515.39,996.38,80.03,893.85
65,France,Payload,2022,33412.31,GEO,Active,528.56,822.74,998.93,523.61,824.82,839.86,577.86,996.12,888.1,179.08,399.38,451.83,411.91,789.56,897.53,892.2,548.0,42.72,434.26,659.4,555.79,757.46,159.35,449.73,888.01,5.47,872.18,350.63,364.44,904.98,711.34,248.14,405.62,92.27,615.78,857.83,684.76,517.02,978.82,15.36,923.95,709.24,921.76
66,Australia,Rocket Body,2022,33538.44,GEO,Inactive,205.71,975.3,155.89,916.95,498.89,773.54,410.63,185.76,57.98,229.6,751.84,425.88,15.29,223.84,474.08,606.68,427.4,23.37,44.98,666.91,879.0,301.93,405.85,884.62,668.25,394.14,729.43,268.83,811.19,868.5,728.09,74.57,131.45,923.07,679.27,191.54,186.53,282.41,890.64,961.32,550.74,635.53,527.53
67,Israel,Payload,1986,19263.15,MEO,Inactive,647.99,796.14,923.37,996.24,11.73,457.62,718.65,822.45,771.6,261.41,17.19,884.77,682.17,799.64,179.66,446.25,886.14,786.31,420.92,139.39,565.93,626.61,88.07,307.5,950.6,803.79,740.81,717.67,364.94,210.48,254.87,884.7,199.98,683.87,587.1,829.97,907.91,940.32,134.69,224.33,850.21,779.18,618.37
