object_id,name,object_type,country,altitude_km,launch_year_estimate,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44
35,OBJ-35,ROCKET BODY,Germany,7610.64,1999,-132.772,64.814,-79.313,4.353,64.727,-88.735,-103.234,159.295,9.987,-72.499,131.451,-82.324,-119.215,20.716,-16.883,-50.449,36.656,-46.842,99.879,164.649,27.866,25.76,-12.038,-141.786,79.936,-150.334,-52.573,-53.503,-94.606,-16.559,39.776,77.547,133.971,-184.064,58.402,-30.062,76.662,81.469,-209.252,-54.148,60.592,225.637,49.91,-47.486
36,OBJ-36,FRAGMENT,UK,1110.91,1986,-1.582,75.585,106.081,160.831,-185.873,135.989,62.53,66.386,115.694,-32.758,-68.628,-51.515,15.239,91.875,21.66,-49.98,-31.761,-1.153,291.628,-16.161,82.526,-77.111,44.908,67.855,117.184,-175.242,52.403,21.769,-17.219,-59.766,18.532,77.818,98.401,-103.354,-61.717,-29.596,-2.982,-53.785,59.751,75.77,172.574,-2.582,-14.185,244.907
37,OBJ-37,ROCKET BODY,USA,6662.65,1973,85.009,-9.844,164.053,-36.683,90.965,-47.746,-8.265,9.919,82.994,-160.664,97.764,-14.119,84.335,9.242,-84.803,176.646,-35.506,-81.801,-49.894,95.159,-23.718,44.947,92.072,69.473,-94.861,81.707,2.025,50.858,3.068,46.118,-160.112,165.469,-117.002,83.787,-29.971,139.442,100.005,12.762,46.195,22.663,46.863,-30.321,-78.862,150.889
38,OBJ-38,FRAGMENT,Japan,21056.21,1982,87.572,-43.397,-65.558,149.778,-71.019,-163.599,209.976,168.306,-115.656,-37.267,-58.514,77.35,-88.058,82.94,96.802,72.92,66.899,152.842,22.62,-31.535,-215.997,41.267,28.777,4.899,-86.646,-143.97,41.129,109.194,60.577,12.294,-25.669,-49.251,1.189,156.432,-20.081,-14.702,53.015,205.934,77.201,91.127,-177.453,-42.661,2.435,-41.858
39,OBJ-39,PAYLOAD,Europe,15263.86,1964,35.617,13.83,136.939,211.433,-24.023,22.342,54.897,94.842,-154.882,118.502,-85.375,-23.41,-62.054,-153.33,-17.708,-165.293,-47.298,96.791,-36.328,-158.046,-19.647,-29.78,-103.389,76.55,171.416,106.171,68.815,43.446,-140.661,-5.259,-5.582,-75.762,41.9,-271.631,136.134,113.129,-16.82,87.207,1.308,-119.891,6.538,-31.026,124.018,-2.355
40,OBJ-40,DEBRIS,Japan,32153.35,2003,4.867,-33.991,-176.058,-95.342,91.605,-37.011,32.469,-47.5,24.701,-127.031,-70.079,-178.11,86.048,3.294,14.52,46.95,107.967,7.656,30.755,-118.984,-148.515,4.808,-13.701,13.116,-26.384,-44.599,49.862,-109.285,100.3,-32.839,84.078,-1.519,99.364,-108.983,-9.204,38.428,-21.095,49.414,-176.988,24.107,141.913,76.839,60.398,49.528
41,OBJ-41,UNKNOWN,Other,29457.18,2002,51.174,246.72,38.96,0.904,-41.551,-55.693,-8.01,7.758,125.733,-34.537,-171.144,-19.818,-66.71,-112.694,-36.983,-150.29,23.566,-85.125,97.565,-0.379,-164.345,-2.68,-97.589,161.627,-187.707,166.876,-25.284,-66.242,103.43,-28.924,-174.355,59.552,12.712,182.954,-33.918,-91.279,-107.447,155.184,-45.813,9.155,-20.724,-63.274,-18.199,102.733
42,OBJ-42,PAYLOAD,Europe,12410.73,2024,-85.533,-99.236,-122.86,210.373,64.741,-66.003,-70.312,-196.427,28.791,170.264,43.86,73.327,-20.851,14.043,23.565,-162.933,-36.615,-79.726,-20.812,10.764,106.517,45.654,-32.908,-129.641,41.841,-44.862,-18.395,14.646,-18.899,-76.538,-109.58,-25.484,48.386,14.202,-8.289,0.847,-53.728,-96.367,-91.969,-74.895,68.543,76.524,-121.281,48.221
43,OBJ-43,UNKNOWN,Japan,9457.74,1989,168.699,100.209,94.257,-12.108,113.891,-69.948,31.139,106.419,7.885,-106.186,-116.398,135.702,-103.462,38.419,167.122,45.342,-155.16,-84.136,-204.603,54.271,252.103,-154.383,-15.887,20.179,-19.1,-39.38,155.534,-69.086,12.906,-47.56,179.873,-55.264,93.134,-103.214,189.608,154.553,-11.057,125.583,-103.391,-103.571,121.283,0.052,73.433,11.472
44,OBJ-44,DEBRIS,Europe,13768.18,1957,167.394,51.72,86.046,3.681,11.003,70.856,-138.23,-29.595,-28.409,139.722,-35.792,28.058,181.994,80.75,-37.912,74.477,66.327,-123.07,102.857,54.312,136.429,-156.371,105.258,90.335,8.113,6.697,8.62,-147.643,30.652,-93.926,-79.738,143.724,106.569,147.703,56.009,101.517,15.875,35.561,78.38,-8.717,17.241,-58.976,47.798,-141.746
45,OBJ-45,DEBRIS,Europe,21316.17,1975,42.881,22.987,207.738,-167.001,31.145,22.379,-133.628,-197.722,-132.396,-27.901,76.162,-148.6,52.062,48.991,-54.45,45.875,28.294,32.269,13.042,90.016,-261.059,-151.181,-79.412,149.21,-238.128,-41.462,135.532,-80.638,8.337,-38.718,-185.156,-83.708,-18.077,58.542,-61.045,120.251,-83.588,145.714,-17.062,-29.098,35.887,35.801,-162.643,196.296
46,OBJ-46,PAYLOAD,India,9767.4,1987,19.73,147.989,142.128,-53.166,-11.944,-19.797,101.244,-118.184,-96.052,10.191,72.935,-40.637,-25.539,-33.685,-83.016,187.958,33.107,-64.244,-34.203,-76.915,-17.301,-44.477,-87.423,79.258,-264.821,41.807,142.482,-80.096,60.343,36.432,-69.817,146.866,4.556,11.002,149.815,50.483,11.53,-52.214,39.372,117.99,58.965,-21.576,-148.149,-63.11
47,OBJ-47,DEBRIS,China,22529.5,1970,-41.142,29.838,-16.577,55.559,11.56,-109.824,-176.212,87.091,-162.231,129.148,-143.166,47.506,-44.238,-75.36,-5.962,36.875,36.296,-69.955,-56.529,182.722,-58.969,45.531,-71.693,-103.798,30.256,-104.472,-78.095,-100.937,-38.724,81.973,-79.382,96.317,-75.805,-191.715,18.056,-47.726,-46.72,139.249,105.621,82.578,-41.57,-63.85,157.272,106.124
48,OBJ-48,FRAGMENT,China,14833.31,2009,52.875,-63.491,-108.175,242.928,-111.64,-16.889,-31.957,161.38,-110.305,-48.51,31.054,86.621,-122.836,-234.252,-7.12,17.009,-52.909,-81.394,31.12,191.876,-147.092,-224.599,-60.901,-165.505,-30.313,18.633,73.551,252.675,-76.013,-5.121,65.113,191.195,-27.313,209.599,-86.288,164.005,-63.821,-174.23,-172.521,-68.619,-20.439,-2.872,32.006,3.14
49,OBJ-49,DEBRIS,India,19945.37,2004,-69.132,29.173,56.569,-19.601,-29.374,26.063,-104.913,2.043,-52.601,63.103,114.049,50.707,-11.01,6.885,5.144,-121.601,-15.137,100.358,-69.587,-52.054,46.486,9.401,-31.817,-16.988,-45.686,-75.085,-108.021,31.53,42.817,-7.886,63.884,218.31,-40.741,26.238,39.371,55.949,59.288,-37.589,160.334,-25.695,-87.796,-1.505,-139.234,125.017
50,OBJ-50,UNKNOWN,Germany,15790.77,2025,-222.361,-18.318,-6.073,-166.263,-128.821,29.865,-40.247,-98.205,77.602,88.46,-63.684,-25.161,66.506,113.786,46.826,85.761,-45.855,-75.857,-57.901,-79.392,-18.479,119.375,32.932,36.172,39.048,-20.554,161.717,11.557,-152.584,14.395,-96.936,37.023,-18.862,-30.966,-15.017,93.09,24.72,27.26,178.654,54.699,-48.52,-47.714,113.686,-130.099
51,OBJ-51,UNKNOWN,Russia,10713.65,2018,-271.411,50.328,155.116,-140.525,-89.877,16.088,18.455,-142.075,-44.507,-65.081,51.357,85.852,-80.981,10.839,34.217,-165.144,125.006,126.904,-124.862,-178.481,-116.409,27.315,-78.511,94.474,-77.888,-137.517,18.856,91.951,61.904,98.335,-37.892,207.848,-9.425,146.174,-338.221,10.854,-5.956,65.682,-177.585,65.696,81.124,-81.507,121.653,-63.526
52,OBJ-52,UNKNOWN,Germany,34152.57,2022,-79.95,81.307,-216.638,-3.579,-200.295,-92.259,98.456,141.461,25.563,-76.143,-114.328,-64.057,10.554,-8.475,-2.252,202.037,-27.512,-28.769,-68.236,17.089,-205.635,-201.889,11.489,-109.547,-26.544,87.23,14.002,179.829,72.258,-22.5,53.694,50.523,81.336,-91.669,33.075,-103.339,58.522,-209.329,69.265,118.862,53.909,8.988,-70.98,-14.027
53,OBJ-53,UNKNOWN,USA,27527.63,2020,15.638,-85.909,218.806,117.721,26.393,-240.318,121.763,44.947,13.523,-22.86,38.566,18.465,-36.738,14.306,195.38,87.08,-61.924,-124.508,63.086,45.244,-60.892,52.107,12.725,61.074,-44.876,-35.584,-86.512,38.667,-78.229,46.292,57.045,39.617,34.932,-109.356,-107.537,39.495,-120.842,-124.57,198.941,-6.384,-113.333,20.67,-92.264,-91.674
54,OBJ-54,FRAGMENT,USA,5181.66,2019,33.197,119.534,53.199,63.735,169.16,179.962,-91.895,-33.014,49.905,-19.732,13.127,74.979,138.012,-38.771,69.068,278.98,131.876,46.927,-138.117,-57.933,0.791,24.228,55.368,-267.763,88.545,91.608,-60.679,101.755,142.209,37.058,-103.459,19.38,-127.994,-97.322,-127.266,169.395,-112.746,-108.361,-139.656,15.92,-95.148,39.995,7.951,-53.672
55,OBJ-55,ROCKET BODY,Europe,31285.89,1989,-48.676,-25.49,-81.301,46.026,-45.611,-130.964,-46.596,-56.827,-103.481,-107.895,66.115,57.664,-63.67,19.497,-108.926,38.933,120.997,88.728,115.207,28.276,-11.842,-34.264,-21.077,-73.949,-187.887,-73.696,22.619,-50.202,-35.116,-62.357,-92.408,-43.443,55.039,-37.991,-194.309,80.825,-33.02,-93.566,-117.27,-178.011,-58.276,36.798,16.01,129.115
56,OBJ-56,PAYLOAD,Japan,17629.53,1997,14.184,44.361,73.399,130.914,96.513,-196.496,405.255,67.183,105.919,-64.16,59.915,59.909,77.716,-40.496,-154.52,92.017,23.637,-85.803,-117.895,-138.781,106.278,18.178,83.208,86.028,-64.735,-0.906,9.099,-90.631,-43.724,70.669,211.633,75.967,-54.878,2.677,12.819,55.384,-10.336,-75.049,81.357,-111.02,-140.99,131.948,-15.82,55.251
57,OBJ-57,UNKNOWN,Japan,32220.75,2004,-27.423,61.703,129.742,-72.023,112.569,13.052,-25.001,64.432,-140.718,-346.69,-135.348,57.391,139.402,-89.888,-69.565,-27.717,-12.987,6.324,14.994,96.767,33.798,-139.587,36.903,-119.121,108.976,92.594,-38.512,90.918,-65.352,-207.217,-25.972,115.061,-108.94,64.014,-14.753,-85.989,76.43,16.473,45.854,91.113,25.617,-108.769,-107.255,144.768
58,OBJ-58,DEBRIS,China,28826.81,1969,-99.931,36.739,11.435,1.909,-119.914,-170.852,-88.221,-89.658,-44.781,-33.427,13.655,-104.869,-37.713,-7.53,15.266,-4.328,-37.955,31.846,48.495,-53.098,-34.463,5.099,32.418,-110.358,-83.714,-117.549,87.834,89.003,44.81,106.174,149.345,-139.836,-114.226,-125.104,94.908,152.304,-62.774,147.625,21.826,-109.185,-62.519,158.628,-35.17,6.539
59,OBJ-59,UNKNOWN,France,15399.65,1987,-5.374,-10.911,-176.492,-52.038,-98.379,-80.48,-71.58,-114.237,-2.091,89.439,145.291,1.756,-58.858,-9.71,-77.95,-105.153,-4.397,9.563,82.464,28.876,-81.723,47.859,-55.069,-52.542,11.995,-88.233,-0.246,79.62,-39.136,-119.412,22.861,255.984,16.978,30.329,-79.749,134.724,-60.654,-37.528,-25.027,-167.561,51.604,-133.782,-42.432,-15.883
