object_type,country,altitude_km,launch_year_estimate,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50
PAYLOAD,Other,16907.09,2015,289.154,123.686,871.648,682.959,83.564,502.168,536.207,449.521,570.314,986.192,384.804,480.742,585.182,527.397,60.94,605.264,933.718,646.068,589.91,371.272,841.666,702.104,724.136,811.943,622.295,848.12,18.432,771.523,70.241,331.71,294.946,825.578,801.5,446.679,486.783,860.044,664.555,254.824,909.442,877.324,723.406,185.234,762.785,606.202,508.226,927.589
DEBRIS,ESA,17133.2,2024,603.756,822.591,2.727,512.374,444.251,880.75,381.314,548.355,252.079,539.364,212.994,317.907,399.657,290.113,994.924,149.967,194.0,598.156,945.094,761.092,770.054,607.847,661.359,167.062,985.935,745.854,540.413,183.138,962.03,152.306,653.964,831.16,711.543,15.831,269.35,410.07,939.942,428.306,631.83,338.667,799.719,860.161,716.04,494.396,542.421,639.503
ROCKET BODY,India,14698.93,1997,719.307,754.94,567.115,304.139,219.546,145.12,111.721,680.834,243.479,671.463,953.315,300.601,535.528,934.424,914.613,588.638,465.726,381.706,939.157,724.268,884.581,851.997,38.233,582.838,300.302,753.28,593.603,248.274,723.617,741.192,612.506,203.266,254.045,371.798,303.613,295.976,874.773,316.245,95.041,603.242,288.641,788.077,964.985,180.321,84.361,695.411
DEBRIS,Russia,32579.44,1994,875.239,871.954,875.735,96.319,261.926,278.588,666.033,711.344,284.748,667.783,11.968,745.693,573.198,103.705,219.218,507.406,442.179,218.208,590.832,827.067,286.773,47.93,41.626,790.279,783.387,489.012,711.807,88.686,132.078,345.467,514.949,119.573,989.051,749.116,613.648,642.176,125.522,343.929,431.786,351.465,10.948,887.995,102.352,620.222,240.371,195.782
PAYLOAD,Japan,12560.79,2008,197.358,613.829,956.966,859.933,264.315,103.144,968.935,581.027,597.674,964.408,301.403,823.381,108.641,433.978,421.867,740.998,61.199,296.369,2.789,636.603,146.834,374.194,188.196,926.521,361.448,445.456,745.091,771.857,445.579,147.762,278.415,922.267,884.355,685.951,438.385,429.058,458.238,582.488,567.501,664.002,666.363,178.56,723.328,328.052,782.37,971.187
FRAGMENT,India,33984.94,1965,936.997,106.886,73.997,238.825,391.084,296.202,173.585,155.692,931.48,142.318,463.267,834.161,595.716,704.234,760.366,301.27,871.484,280.878,232.357,868.162,357.777,823.535,124.424,778.68,142.956,416.527,774.727,27.608,7.653,273.099,267.865,327.097,301.468,101.218,457.666,108.165,664.297,936.295,620.901,335.097,387.157,887.353,240.0,205.484,565.434,379.539
DEBRIS,Other,29038.28,1960,381.642,924.055,387.811,886.265,529.125,908.945,990.446,602.152,79.356,958.705,286.573,59.512,672.14,5.926,744.348,425.596,117.357,987.686,193.152,503.401,312.504,541.547,121.537,221.674,740.771,486.413,428.776,234.112,273.975,362.177,421.367,322.262,973.889,512.884,635.003,905.878,138.532,826.846,441.608,327.272,490.291,861.263,869.002,950.772,65.96,466.594
SATELLITE,China,32875.43,2019,356.496,401.746,362.807,846.952,850.542,982.809,157.224,602.46,300.723,269.673,35.045,979.325,147.595,254.454,622.381,415.559,158.876,246.399,958.971,540.103,494.427,898.452,16.618,224.087,143.943,418.083,599.282,949.284,717.921,787.041,706.451,853.382,739.41,663.092,537.742,428.905,85.33,254.79,340.192,487.3,93.282,780.5,944.811,190.783,516.27,343.257
SATELLITE,ESA,9588.63,2020,805.651,228.311,930.559,585.317,111.835,463.315,109.77,934.328,40.827,430.104,763.827,393.191,123.809,539.46,187.31,689.885,604.522,665.629,523.943,563.518,665.297,527.964,583.042,290.53,413.654,946.807,415.948,923.326,799.745,521.87,285.579,850.776,64.44,13.23,405.234,284.69,949.899,995.061,178.972,991.666,704.746,909.337,446.109,849.82,998.285,136.066
DEBRIS,Russia,34913.48,1979,36.349,456.817,84.83,664.792,625.747,995.75,769.469,132.868,268.586,210.258,251.905,799.585,758.516,534.668,737.477,319.283,667.609,590.883,374.708,897.263,516.213,230.656,670.081,350.209,28.472,842.401,300.484,434.61,298.688,423.446,542.629,87.013,761.321,952.189,157.73,9.644,259.087,149.499,375.044,131.185,121.378,493.118,497.898,159.34,529.809,255.223
FRAGMENT,Russia,3903.24,1969,414.917,497.857,938.285,535.736,499.207,361.094,769.202,80.397,991.685,137.215,773.698,314.343,994.133,382.076,149.492,870.746,362.111,48.265,496.439,320.916,853.214,953.034,978.372,477.77,107.251,945.957,270.586,224.086,12.334,878.978,653.1,148.072,318.122,152.801,994.724,232.643,312.385,293.746,820.631,854.715,523.347,79.068,570.74,609.896,642.659,303.808
DEBRIS,USA,17202.89,1987,336.371,492.953,40.545,687.641,39.331,27.951,725.711,189.453,269.536,891.975,143.79,73.442,951.768,924.733,351.207,935.383,892.521,427.771,111.096,136.154,825.605,492.494,830.267,222.577,847.213,11.374,528.01,765.223,173.974,12.619,332.9,122.395,32.445,18.253,349.277,616.958,481.954,39.333,795.215,338.634,156.437,863.886,443.637,575.751,324.097,709.606
ROCKET BODY,USA,14950.58,1968,184.506,796.891,874.192,26.791,573.028,171.156,358.421,392.042,451.343,216.528,428.299,4.604,31.815,308.256,966.66,200.231,31.059,730.909,647.199,579.132,645.605,872.224,273.527,249.739,345.173,321.555,617.211,937.662,978.63,463.171,685.263,734.521,943.126,348.298,330.559,956.491,937.606,602.964,592.868,282.232,282.56,853.729,718.504,940.277,771.168,93.176
SATELLITE,India,21675.47,1976,84.942,64.688,945.858,167.095,739.421,962.777,531.236,65.784,230.394,453.088,162.938,776.036,691.425,609.827,440.635,106.275,105.386,204.297,895.248,50.35,501.452,480.843,825.333,748.579,193.564,962.986,836.092,260.548,266.168,238.357,762.604,374.686,697.668,641.204,645.509,499.114,854.736,275.898,883.808,594.868,174.831,50.009,881.402,283.452,546.472,160.258
ROCKET BODY,ESA,35398.98,2024,983.181,755.626,664.669,639.74,907.499,797.321,469.336,690.433,561.064,342.117,378.334,509.853,505.479,105.668,77.921,822.913,798.052,543.064,593.844,377.448,485.855,355.454,658.304,37.795,90.648,255.807,65.031,156.37,879.603,422.354,605.816,379.466,78.373,64.525,754.378,900.455,251.522,943.915,75.742,328.998,74.257,818.374,862.534,502.449,51.929,860.922
ROCKET BODY,Other,8544.28,2016,526.162,847.488,287.599,5.929,95.053,458.903,776.467,828.164,72.434,398.416,372.01,54.374,680.694,368.589,701.389,141.461,949.79,145.904,479.88,100.397,552.998,466.567,514.774,867.529,818.565,931.53,553.446,577.572,61.096,602.98,76.144,234.621,480.901,692.621,490.21,546.34,234.739,437.711,594.49,976.524,673.216,35.015,30.367,609.278,290.615,434.559
FRAGMENT,ESA,21169.68,1978,493.343,965.521,470.839,404.627,44.626,916.8,850.523,224.889,786.347,652.702,311.832,17.464,977.009,746.725,792.807,419.229,287.68,714.678,454.612,426.129,984.373,39.575,435.733,722.94,249.067,96.775,819.028,426.561,862.731,544.888,343.549,692.352,679.015,201.549,229.146,159.416,847.302,83.365,417.349,528.055,296.525,703.886,666.575,115.7,892.012,303.886
SATELLITE,Japan,32555.99,2020,733.474,131.878,456.274,558.256,6.8,306.882,208.216,955.153,227.299,959.898,847.8,856.357,599.394,58.263,164.69,369.333,774.615,278.631,800.611,764.319,638.384,656.173,453.33,555.284,417.843,168.557,698.99,516.551,739.687,361.377,158.943,760.89,774.616,622.321,810.536,759.746,240.283,542.586,623.59,483.208,535.944,153.528,934.5,839.409,517.987,707.264
PAYLOAD,ESA,4242.82,1966,909.949,671.696,81.695,986.434,951.273,273.951,428.117,736.66,431.333,404.232,590.529,494.634,832.695,135.167,358.047,175.386,380.209,84.993,914.133,171.37,948.088,506.312,9.713,379.665,284.628,583.856,716.585,502.961,292.15,234.966,626.093,994.584,324.089,986.305,193.12,291.812,147.543,169.072,243.473,246.849,843.168,695.087,146.71,786.107,218.636,18.689
DEBRIS,Japan,5368.22,2017,106.515,367.82,407.671,398.456,311.582,422.476,810.927,369.612,828.293,403.913,501.151,402.96,65.271,458.951,984.441,343.846,698.245,828.865,804.306,813.429,529.903,306.072,448.331,10.524,130.351,910.675,863.599,600.627,478.483,934.195,355.439,421.415,842.042,753.381,297.898,340.943,992.415,723.701,308.027,442.415,366.271,519.128,138.981,505.842,64.754,728.935
ROCKET BODY,China,12653.26,1988,839.995,51.396,923.18,758.761,45.472,159.749,106.085,326.685,760.948,561.898,465.942,432.133,287.504,723.456,489.73,782.86,965.235,102.205,352.355,55.173,270.922,45.38,504.348,492.193,957.259,755.085,890.428,308.447,416.839,375.012,488.209,62.06,735.041,285.596,641.164,63.907,123.252,847.125,3.188,420.471,908.835,899.104,391.066,854.358,757.98,14.141
FRAGMENT,China,29749.23,1969,512.876,989.296,530.262,373.147,732.892,576.559,612.606,423.528,446.087,704.397,522.338,225.027,860.99,20.076,573.379,607.377,364.288,88.253,499.681,522.174,532.389,109.392,529.234,260.957,595.318,613.503,500.473,379.949,190.186,413.955,192.106,766.371,679.561,370.592,309.444,484.49,155.2,531.785,75.975,363.884,410.75,625.085,212.539,364.992,974.897,985.09
PAYLOAD,ESA,12109.59,2003,146.672,853.692,269.29,761.991,15.746,836.938,36.081,110.72,82.799,182.407,244.554,637.846,805.127,805.183,302.209,360.458,848.99,935.814,727.157,513.503,660.204,286.271,83.661,280.811,773.695,865.707,447.289,302.986,422.848,310.289,683.242,668.933,776.125,687.312,369.521,280.76,550.518,718.834,47.939,326.294,565.95,79.042,429.393,690.425,386.573,303.239
PAYLOAD,China,33177.91,2022,366.357,695.356,798.45,285.473,998.044,40.669,949.734,132.542,137.065,327.355,751.972,772.852,627.595,647.808,122.269,579.608,674.626,240.187,697.65,972.603,333.275,987.137,817.685,885.512,510.405,80.28,628.162,586.231,167.688,725.752,554.899,871.969,943.35,887.124,627.593,654.837,580.245,346.416,484.326,572.632,511.619,906.28,176.012,52.327,996.829,105.21
SATELLITE,China,27716.95,1972,36.539,630.219,736.139,854.67,799.077,48.56,7.73,38.332,843.26,614.18,525.867,461.671,649.65,968.064,229.348,402.108,557.036,703.159,735.923,265.139,93.106,123.091,76.256,383.016,894.433,80.018,138.582,765.095,906.602,610.46,670.664,905.56,105.853,222.4,740.585,842.132,377.664,148.129,224.735,954.002,621.009,417.582,69.369,685.776,389.095,98.146
ROCKET BODY,India,28484.73,1982,968.114,820.063,904.878,442.326,730.259,505.417,836.971,165.384,510.681,928.105,893.881,228.105,913.58,574.309,41.085,389.297,316.884,359.359,626.201,951.272,977.581,539.254,165.494,758.189,247.223,176.591,922.689,51.394,720.9,788.922,627.371,897.906,436.561,11.375,149.231,82.171,657.363,396.331,666.27,881.667,745.4,769.984,123.246,827.928,967.035,904.342
FRAGMENT,Russia,23976.35,1961,298.31,939.811,109.1,973.717,996.947,408.255,864.969,988.168,79.32,112.994,517.579,286.807,232.639,980.514,958.825,84.954,475.683,537.585,605.568,981.971,564.527,262.112,553.504,211.407,942.486,970.302,193.113,785.017,308.565,610.241,208.169,625.927,954.212,460.973,261.846,999.384,619.349,364.826,947.882,127.129,480.801,218.328,525.261,236.39,221.04,718.531
DEBRIS,Other,35606.07,2004,970.736,233.506,805.024,848.582,563.938,991.128,50.026,909.166,591.721,880.113,165.83,854.906,242.646,912.631,287.818,157.986,414.97,896.138,556.007,995.455,400.703,541.228,287.602,561.104,691.871,84.208,876.589,400.31,167.121,718.103,213.438,866.082,820.656,924.898,860.727,448.469,779.382,731.084,353.615,282.251,349.96,436.702,816.047,761.525,532.179,485.964
ROCKET BODY,India,4720.3,1974,422.08,221.561,29.631,284.641,479.703,837.425,505.125,514.16,196.186,598.405,401.112,313.74,778.368,256.371,125.809,188.165,832.668,559.143,933.718,960.97,255.217,798.649,233.267,148.61,456.178,912.375,487.472,331.239,926.295,473.474,536.026,760.008,805.422,101.166,577.749,849.524,466.745,627.247,288.999,916.646,354.595,611.101,479.44,520.611,345.689,773.759
PAYLOAD,Japan,11140.02,1968,975.984,724.667,630.888,852.37,198.596,136.794,680.698,204.345,570.792,987.749,329.782,929.947,572.958,792.583,331.857,444.952,772.649,663.031,824.667,726.816,376.845,909.282,740.246,984.257,668.334,202.132,452.491,79.495,6.557,876.117,4.096,97.965,189.201,453.919,947.769,739.875,312.949,367.137,724.802,316.096,741.1,568.672,384.463,942.775,158.465,919.793
FRAGMENT,ESA,25384.7,1965,490.728,989.764,394.159,218.085,969.822,738.552,426.169,930.938,408.094,59.654,282.54,664.961,970.296,162.363,50.095,794.441,549.134,497.472,739.452,262.87,919.54,64.707,190.162,872.249,368.01,817.771,686.035,470.988,735.58,122.238,99.023,163.329,744.427,74.91,848.499,655.068,461.871,120.29,518.794,677.877,652.679,435.562,646.247,432.538,782.079,486.501
SATELLITE,ESA,522.97,1992,483.216,826.177,549.483,428.071,745.212,52.389,661.495,150.924,395.387,953.28,759.53,330.094,543.585,270.993,968.636,933.684,913.249,590.136,258.191,555.582,685.553,26.65,277.496,624.115,279.262,454.174,640.688,411.148,432.781,510.977,522.449,987.231,729.776,826.304,911.852,325.742,706.262,476.461,92.494,879.442,478.719,293.749,885.893,996.194,478.278,11.107
PAYLOAD,ESA,31773.54,1974,518.275,91.497,102.528,765.36,222.038,809.032,985.918,145.374,905.798,917.748,991.7,115.247,341.927,97.855,542.268,348.676,761.477,783.9,67.269,675.933,844.148,271.076,370.087,197.321,989.221,690.699,491.364,961.974,251.088,973.836,440.434,63.991,141.209,485.677,68.913,503.601,478.878,548.033,514.606,131.506,173.353,423.547,126.708,356.268,658.104,771.726
SATELLITE,ESA,32254.55,1983,968.323,826.847,863.096,692.998,888.021,35.028,552.485,393.516,317.778,512.9,108.262,213.075,572.848,195.367,495.409,830.678,42.512,466.553,486.927,250.77,689.948,663.712,933.728,658.566,461.898,0.732,36.037,536.22,337.07,155.327,848.998,989.906,835.734,974.148,48.855,400.752,58.306,339.659,904.869,350.614,641.758,711.365,570.871,366.616,309.08,414.382
FRAGMENT,India,9579.18,1996,740.393,445.559,564.124,934.92,208.541,857.266,956.998,955.508,537.956,357.117,472.46,476.144,524.38,839.878,427.153,14.104,918.563,288.707,611.245,186.977,619.125,875.046,946.035,439.642,549.776,667.773,773.192,398.502,670.919,80.227,8.655,608.673,592.63,748.034,260.053,104.308,401.277,15.079,675.613,437.68,85.889,279.513,144.896,892.499,534.456,457.341
FRAGMENT,Japan,525.5,1994,905.829,303.446,168.959,6.279,976.594,624.432,538.956,601.924,181.82,194.872,479.917,597.725,51.712,684.652,934.233,23.244,377.32,82.923,767.25,792.821,793.862,632.37,599.915,901.893,222.968,594.702,18.515,893.033,380.78,887.407,11.054,293.266,917.158,848.687,227.968,496.346,608.566,80.585,593.584,542.0,176.509,226.842,547.617,570.713,229.13,158.411
DEBRIS,China,33030.5,2017,296.352,402.373,396.762,205.498,935.953,597.442,344.652,247.217,240.664,762.665,932.575,818.445,106.178,3.552,431.109,640.6,165.083,411.131,752.907,11.981,124.715,757.446,532.402,172.942,496.548,38.38,407.857,184.367,64.423,648.602,413.53,879.854,515.467,251.75,952.996,424.578,127.62,340.417,499.122,877.848,840.192,2.845,30.907,365.734,51.648,448.776
PAYLOAD,Russia,25667.62,2025,57.522,764.487,14.122,365.846,528.188,498.851,97.133,298.778,327.185,729.37,277.629,891.983,970.218,422.021,412.331,517.239,159.239,849.57,739.499,742.196,127.933,695.1,137.978,896.811,752.989,400.017,386.075,21.196,852.996,937.489,309.713,816.506,578.808,892.965,45.556,321.904,883.167,992.175,596.415,820.998,683.482,772.367,667.541,59.27,879.412,936.176
DEBRIS,Other,25530.45,1972,218.441,776.039,82.908,133.03,584.213,345.198,328.587,518.543,680.398,813.867,25.025,604.075,498.178,356.421,725.964,840.982,478.451,126.846,74.291,995.874,973.93,752.53,956.314,202.071,440.566,426.51,439.8,347.915,176.886,543.902,250.782,810.955,962.957,852.968,824.704,367.942,89.128,623.69,988.993,269.784,332.909,23.934,249.023,238.688,691.518,548.205
DEBRIS,ESA,30075.79,2012,957.609,282.267,484.683,253.85,802.778,723.244,82.338,662.424,558.422,249.59,654.049,976.655,545.293,281.819,44.387,160.616,995.885,779.408,813.972,438.088,338.382,135.031,685.024,417.508,890.644,978.668,327.615,150.003,775.246,474.723,437.46,792.819,757.954,96.818,431.122,622.021,382.032,813.398,270.263,525.422,177.082,613.906,798.491,462.292,660.868,831.795
SATELLITE,Japan,3005.43,2022,980.995,779.593,744.835,694.959,283.348,580.709,308.892,577.465,458.269,974.31,187.687,276.807,661.356,811.176,928.474,812.959,429.042,488.863,178.854,126.558,825.125,456.04,646.72,938.875,830.116,687.507,208.831,726.499,774.51,664.231,7.612,734.335,76.845,136.367,840.679,740.016,750.727,272.632,904.535,780.175,122.513,347.86,639.2,981.314,78.296,950.463
DEBRIS,Russia,9402.33,1994,775.264,479.5,304.862,474.409,533.023,630.332,339.636,586.895,844.888,487.107,645.267,536.848,668.341,59.031,22.394,674.199,126.233,607.634,558.592,487.351,942.814,585.081,994.252,664.326,369.636,519.432,440.447,32.308,274.45,352.355,191.169,739.377,87.761,131.816,958.415,911.195,305.583,248.432,138.507,495.173,288.155,243.291,279.178,212.076,866.281,314.872
FRAGMENT,USA,19918.72,2004,126.395,558.806,267.599,839.388,89.445,531.992,815.138,452.762,708.79,933.449,57.792,42.472,351.362,613.502,289.831,809.704,316.711,752.13,897.743,28.08,846.988,850.143,528.436,302.516,373.281,123.843,623.644,303.21,897.711,194.795,155.574,174.582,699.04,428.852,323.283,289.352,954.216,203.95,352.13,941.09,159.543,660.24,476.136,101.886,511.641,406.018
PAYLOAD,Russia,8563.14,2003,188.009,322.118,785.161,827.86,854.444,883.647,169.476,327.212,821.114,417.512,520.852,244.634,971.174,247.595,753.32,834.851,157.019,596.315,638.99,765.495,88.43,564.297,676.484,301.703,555.609,377.984,385.103,579.154,556.565,891.779,739.378,67.99,999.756,695.212,906.009,399.688,393.507,686.827,841.899,286.751,150.75,308.545,655.241,185.058,398.486,24.946
DEBRIS,India,2880.34,1972,190.119,289.107,605.51,72.347,58.961,824.154,871.839,35.809,345.583,185.521,243.046,225.923,975.565,741.677,455.775,282.354,898.246,960.03,722.709,612.845,744.252,806.37,35.482,908.771,348.664,577.952,233.86,667.687,196.969,338.938,634.046,89.442,241.977,0.527,893.508,770.05,13.255,626.85,767.499,608.431,181.816,324.719,348.513,764.878,507.64,276.198
ROCKET BODY,India,33349.14,2024,20.819,372.352,255.642,463.454,832.507,679.121,92.982,244.543,614.545,819.597,422.448,805.86,572.089,224.855,290.337,648.522,740.487,77.528,587.676,127.876,811.129,854.293,373.932,46.096,665.994,791.578,501.355,653.182,573.277,261.186,540.65,259.576,828.63,299.058,531.842,715.797,92.607,19.388,248.353,959.295,59.883,240.581,750.515,131.248,122.661,193.976
