norad_id,name,object_type,altitude_category,orbital_band,congestion_risk,inclination,eccentricity,launch_year_estimate,days_in_orbit_estimate,orbit_lifetime_category,mean_motion,epoch,data_source,snapshot_date,country,last_seen
10022,OBJECT_22,PAYLOAD,GEO,MEO,Moderate,50.61,0.07246,1963,10065,Moderate,10.79,2026-01-23,NASA,2026-03-28,RUS,2026-03-28
10023,OBJECT_23,PAYLOAD,GEO,LEO,Moderate,4.79,0.03115,1993,15004,Moderate,14.2,2026-01-24,NASA,2026-03-28,EU,2026-03-28
10024,OBJECT_24,PAYLOAD,GEO,MEO,Moderate,53.89,0.07829,1992,10260,Short,6.45,2026-01-25,CNSA,2026-03-28,CHN,2026-03-28
10025,OBJECT_25,DEBRIS,GEO,MEO,Low,69.31,0.04427,1997,5675,Very Long,7.6,2026-01-26,NASA,2026-03-28,CHN,2026-03-28
10026,OBJECT_26,PAYLOAD,GEO,LEO,High,68.51,0.04853,1985,5003,Long,7.26,2026-01-27,CNSA,2026-03-28,USA,2026-03-28
10027,OBJECT_27,DEBRIS,GEO,GEO,High,39.89,0.07779,1960,911,Short,6.68,2026-01-28,ESA,2026-03-28,CHN,2026-03-28
10028,OBJECT_28,DEBRIS,GEO,MEO,Low,37.86,0.03824,1963,950,Very Long,15.77,2026-01-29,ISRO,2026-03-28,IND,2026-03-28
10029,OBJECT_29,PAYLOAD,GEO,MEO,Low,12.79,0.04431,1998,18899,Moderate,14.18,2026-01-30,ESA,2026-03-28,IND,2026-03-28
10030,OBJECT_30,DEBRIS,GEO,GEO,High,44.02,0.03762,2013,11524,Short,2.3,2026-01-31,ISRO,2026-03-28,RUS,2026-03-28
10031,OBJECT_31,PAYLOAD,GEO,GEO,Moderate,11.94,0.03673,1992,11222,Long,2.28,2026-02-01,CNSA,2026-03-28,USA,2026-03-28
10032,OBJECT_32,PAYLOAD,GEO,LEO,Moderate,91.99,0.05259,1992,16485,Long,7.56,2026-02-02,ESA,2026-03-28,EU,2026-03-28
10033,OBJECT_33,ROCKET_BODY,GEO,GEO,High,115.95,0.08088,1979,4647,Moderate,2.13,2026-02-03,ISRO,2026-03-28,RUS,2026-03-28
10034,OBJECT_34,ROCKET_BODY,GEO,GEO,Moderate,116.41,0.03618,1975,6946,Short,10.72,2026-02-04,CNSA,2026-03-28,USA,2026-03-28
10035,OBJECT_35,DEBRIS,GEO,GEO,Low,103.81,0.05243,1980,2401,Long,2.87,2026-02-05,ISRO,2026-03-28,USA,2026-03-28
10036,OBJECT_36,PAYLOAD,MEO,LEO,Moderate,72.1,0.06707,2004,11564,Short,9.12,2026-02-06,NASA,2026-03-28,RUS,2026-03-28
10037,OBJECT_37,PAYLOAD,GEO,GEO,Moderate,84.1,0.02694,2021,18728,Long,0.62,2026-02-07,NASA,2026-03-28,RUS,2026-03-28
10038,OBJECT_38,DEBRIS,GEO,GEO,Moderate,34.22,0.02775,1990,353,Moderate,5.72,2026-02-08,CNSA,2026-03-28,CHN,2026-03-28
10039,OBJECT_39,PAYLOAD,GEO,LEO,High,75.69,0.09334,2001,19340,Moderate,11.67,2026-02-09,ISRO,2026-03-28,EU,2026-03-28
10040,OBJECT_40,PAYLOAD,GEO,GEO,Low,54.68,0.07235,1971,15490,Short,8.49,2026-02-10,NASA,2026-03-28,IND,2026-03-28
10041,OBJECT_41,PAYLOAD,GEO,GEO,Moderate,57.84,0.05772,2024,1019,Very Long,16.64,2026-02-11,ESA,2026-03-28,CHN,2026-03-28
10042,OBJECT_42,PAYLOAD,GEO,LEO,High,90.93,0.06477,1962,17564,Very Long,14.92,2026-02-12,ISRO,2026-03-28,USA,2026-03-28
10043,OBJECT_43,ROCKET_BODY,GEO,MEO,Moderate,33.83,0.00293,1968,5194,Moderate,6.42,2026-02-13,ISRO,2026-03-28,EU,2026-03-28
10044,OBJECT_44,PAYLOAD,GEO,LEO,Low,38.16,0.06181,2010,15702,Long,1.25,2026-02-14,NASA,2026-03-28,EU,2026-03-28
10045,OBJECT_45,DEBRIS,GEO,GEO,Moderate,110.96,0.05095,1975,3537,Very Long,14.45,2026-02-15,NASA,2026-03-28,RUS,2026-03-28
10046,OBJECT_46,PAYLOAD,GEO,GEO,Low,6.75,0.05457,1962,15450,Moderate,15.54,2026-02-16,CNSA,2026-03-28,EU,2026-03-28
10047,OBJECT_47,DEBRIS,GEO,GEO,Moderate,58.28,0.03594,1983,11843,Long,14.04,2026-02-17,ISRO,2026-03-28,EU,2026-03-28
10048,OBJECT_48,DEBRIS,GEO,LEO,Low,109.54,0.00815,1972,18887,Long,2.61,2026-02-18,ESA,2026-03-28,USA,2026-03-28
10049,OBJECT_49,PAYLOAD,GEO,GEO,Moderate,73.24,0.01933,1961,3820,Very Long,16.97,2026-02-19,NASA,2026-03-28,CHN,2026-03-28
10050,OBJECT_50,ROCKET_BODY,GEO,GEO,Low,65.57,0.09507,1980,17364,Moderate,4.77,2026-02-20,ISRO,2026-03-28,EU,2026-03-28
10051,OBJECT_51,DEBRIS,GEO,LEO,Moderate,29.97,0.04087,1978,977,Long,12.45,2026-02-21,NASA,2026-03-28,RUS,2026-03-28
10052,OBJECT_52,ROCKET_BODY,GEO,MEO,Moderate,41.19,0.04667,2006,18665,Long,15.48,2026-02-22,CNSA,2026-03-28,CHN,2026-03-28
10053,OBJECT_53,DEBRIS,GEO,MEO,High,102.25,0.00527,1981,5898,Short,4.39,2026-02-23,ISRO,2026-03-28,RUS,2026-03-28
10054,OBJECT_54,DEBRIS,GEO,GEO,High,67.11,0.00376,1992,15958,Short,15.49,2026-02-24,ISRO,2026-03-28,EU,2026-03-28
10055,OBJECT_55,ROCKET_BODY,GEO,LEO,Low,61.77,0.07172,1991,15360,Very Long,5.61,2026-02-25,CNSA,2026-03-28,CHN,2026-03-28
10056,OBJECT_56,PAYLOAD,GEO,GEO,Moderate,11.95,0.05381,2023,13241,Short,16.61,2026-02-26,ESA,2026-03-28,EU,2026-03-28
10057,OBJECT_57,PAYLOAD,MEO,LEO,Low,1.92,0.05087,1998,108,Moderate,5.14,2026-02-27,NASA,2026-03-28,USA,2026-03-28
10058,OBJECT_58,PAYLOAD,GEO,LEO,High,115.64,0.02431,2001,15525,Very Long,16.23,2026-02-28,CNSA,2026-03-28,CHN,2026-03-28
10059,OBJECT_59,PAYLOAD,GEO,MEO,Low,45.24,0.07448,1968,1627,Very Long,1.38,2026-03-01,ISRO,2026-03-28,RUS,2026-03-28
10060,OBJECT_60,PAYLOAD,GEO,MEO,Low,72.39,0.01682,1984,6230,Short,12.2,2026-03-02,CNSA,2026-03-28,USA,2026-03-28
10061,OBJECT_61,PAYLOAD,MEO,LEO,High,9.57,0.01899,1961,6878,Long,9.28,2026-03-03,ISRO,2026-03-28,IND,2026-03-28
10062,OBJECT_62,DEBRIS,MEO,GEO,Moderate,81.97,0.04607,1978,875,Moderate,8.38,2026-03-04,CNSA,2026-03-28,RUS,2026-03-28
10063,OBJECT_63,PAYLOAD,GEO,MEO,Low,111.91,0.02863,1979,5544,Moderate,4.19,2026-03-05,ESA,2026-03-28,EU,2026-03-28
10064,OBJECT_64,PAYLOAD,GEO,GEO,High,69.08,0.02475,1976,3810,Moderate,12.14,2026-03-06,ISRO,2026-03-28,RUS,2026-03-28
10065,OBJECT_65,DEBRIS,GEO,MEO,Moderate,15.13,0.06452,1962,10604,Very Long,3.65,2026-03-07,CNSA,2026-03-28,IND,2026-03-28
10066,OBJECT_66,PAYLOAD,GEO,MEO,High,69.81,0.0651,2010,2108,Moderate,9.62,2026-03-08,ESA,2026-03-28,RUS,2026-03-28
10067,OBJECT_67,DEBRIS,GEO,GEO,Low,91.96,0.08245,1985,11746,Long,4.68,2026-03-09,ESA,2026-03-28,USA,2026-03-28
10068,OBJECT_68,PAYLOAD,GEO,MEO,Moderate,48.77,0.04177,2015,9466,Long,16.27,2026-03-10,NASA,2026-03-28,RUS,2026-03-28
10069,OBJECT_69,ROCKET_BODY,GEO,MEO,Moderate,105.58,0.00731,2023,560,Short,0.97,2026-03-11,ISRO,2026-03-28,CHN,2026-03-28
10070,OBJECT_70,DEBRIS,GEO,GEO,High,77.84,0.02737,1967,8309,Moderate,3.8,2026-03-12,NASA,2026-03-28,IND,2026-03-28
10071,OBJECT_71,PAYLOAD,GEO,MEO,High,107.91,0.098,1996,15251,Very Long,4.5,2026-03-13,ESA,2026-03-28,RUS,2026-03-28
10072,OBJECT_72,PAYLOAD,GEO,MEO,High,74.82,0.05963,1986,13256,Short,7.33,2026-03-14,NASA,2026-03-28,IND,2026-03-28
10073,OBJECT_73,DEBRIS,GEO,MEO,Moderate,15.75,0.07097,2004,3047,Long,4.34,2026-03-15,NASA,2026-03-28,USA,2026-03-28
10074,OBJECT_74,DEBRIS,GEO,GEO,Moderate,37.16,0.00074,1963,13857,Moderate,8.61,2026-03-16,CNSA,2026-03-28,CHN,2026-03-28
10075,OBJECT_75,DEBRIS,GEO,LEO,Low,24.22,0.05182,1996,16428,Long,14.9,2026-03-17,NASA,2026-03-28,EU,2026-03-28
10076,OBJECT_76,DEBRIS,GEO,GEO,Moderate,109.06,0.00375,1992,509,Short,12.25,2026-03-18,ESA,2026-03-28,RUS,2026-03-28
10077,OBJECT_77,PAYLOAD,GEO,LEO,Low,91.25,0.05692,1990,6108,Long,10.07,2026-03-19,NASA,2026-03-28,USA,2026-03-28
10078,OBJECT_78,PAYLOAD,MEO,MEO,High,81.17,0.09208,2014,13477,Moderate,1.97,2026-03-20,ISRO,2026-03-28,IND,2026-03-28
10079,OBJECT_79,PAYLOAD,GEO,LEO,High,36.12,0.09684,1971,3440,Moderate,11.95,2026-03-21,CNSA,2026-03-28,IND,2026-03-28
10080,OBJECT_80,DEBRIS,GEO,GEO,Moderate,22.09,0.05406,1970,13137,Short,3.25,2026-03-22,ESA,2026-03-28,USA,2026-03-28
10081,OBJECT_81,DEBRIS,GEO,GEO,High,90.77,0.04582,1991,14168,Moderate,13.48,2026-03-23,NASA,2026-03-28,RUS,2026-03-28
10082,OBJECT_82,PAYLOAD,GEO,MEO,High,56.9,0.0945,2016,17301,Long,4.63,2026-03-24,ISRO,2026-03-28,EU,2026-03-28
10083,OBJECT_83,PAYLOAD,GEO,LEO,Moderate,27.09,0.06736,1997,17183,Long,7.38,2026-03-25,ESA,2026-03-28,RUS,2026-03-28
10084,OBJECT_84,PAYLOAD,MEO,MEO,Low,73.99,0.00649,2019,4972,Very Long,6.28,2026-03-26,NASA,2026-03-28,CHN,2026-03-28
10085,OBJECT_85,PAYLOAD,GEO,MEO,Moderate,4.84,0.04657,1978,18145,Very Long,14.67,2026-03-27,CNSA,2026-03-28,RUS,2026-03-28
10086,OBJECT_86,DEBRIS,GEO,GEO,Low,39.14,0.02402,2015,19660,Very Long,2.59,2026-03-28,NASA,2026-03-28,CHN,2026-03-28
10087,OBJECT_87,DEBRIS,MEO,LEO,Moderate,56.23,0.04698,1973,15884,Long,9.83,2026-03-29,ESA,2026-03-28,IND,2026-03-28
10088,OBJECT_88,DEBRIS,GEO,LEO,Moderate,17.76,0.04555,1992,819,Long,2.84,2026-03-30,ESA,2026-03-28,CHN,2026-03-28
10089,OBJECT_89,PAYLOAD,GEO,LEO,High,118.16,0.05821,1969,10361,Short,12.13,2026-03-31,ESA,2026-03-28,EU,2026-03-28
10090,OBJECT_90,PAYLOAD,GEO,LEO,Moderate,25.09,0.03568,2023,11928,Very Long,15.43,2026-04-01,ISRO,2026-03-28,USA,2026-03-28
10091,OBJECT_91,DEBRIS,GEO,MEO,Moderate,15.64,0.01643,2023,16024,Long,7.67,2026-04-02,NASA,2026-03-28,CHN,2026-03-28
10092,OBJECT_92,DEBRIS,GEO,MEO,Low,24.42,0.05037,2021,3066,Short,8.55,2026-04-03,NASA,2026-03-28,RUS,2026-03-28
10093,OBJECT_93,DEBRIS,GEO,GEO,High,92.29,0.08302,2002,3260,Long,15.8,2026-04-04,NASA,2026-03-28,CHN,2026-03-28
10094,OBJECT_94,DEBRIS,GEO,MEO,Low,51.06,0.0664,2018,17291,Short,9.1,2026-04-05,CNSA,2026-03-28,IND,2026-03-28
10095,OBJECT_95,PAYLOAD,GEO,MEO,Low,67.85,0.03384,2011,12301,Very Long,8.55,2026-04-06,ISRO,2026-03-28,CHN,2026-03-28
10096,OBJECT_96,DEBRIS,MEO,GEO,High,2.52,0.09355,1978,603,Very Long,10.04,2026-04-07,ISRO,2026-03-28,EU,2026-03-28
10097,OBJECT_97,PAYLOAD,GEO,GEO,High,4.13,0.09122,1980,4296,Very Long,11.87,2026-04-08,CNSA,2026-03-28,CHN,2026-03-28
10098,OBJECT_98,PAYLOAD,MEO,GEO,High,53.5,0.02093,1981,9984,Long,2.26,2026-04-09,ISRO,2026-03-28,EU,2026-03-28
10099,OBJECT_99,PAYLOAD,GEO,MEO,Moderate,98.0,0.00394,1968,3528,Long,14.05,2026-04-10,CNSA,2026-03-28,RUS,2026-03-28
10100,OBJECT_100,PAYLOAD,GEO,MEO,High,106.23,0.07413,1968,1812,Short,7.69,2026-04-11,ESA,2026-03-28,IND,2026-03-28
10101,OBJECT_101,DEBRIS,GEO,GEO,High,10.4,0.08276,1986,12104,Moderate,1.69,2026-04-12,ESA,2026-03-28,USA,2026-03-28
10102,OBJECT_102,PAYLOAD,MEO,GEO,High,64.6,0.09679,1976,9033,Moderate,13.47,2026-04-13,ISRO,2026-03-28,RUS,2026-03-28
10103,OBJECT_103,DEBRIS,GEO,GEO,Low,109.59,0.08898,2003,12878,Very Long,6.72,2026-04-14,ESA,2026-03-28,RUS,2026-03-28
10104,OBJECT_104,ROCKET_BODY,GEO,MEO,Low,46.56,0.06005,2004,7964,Moderate,2.16,2026-04-15,ESA,2026-03-28,USA,2026-03-28
10105,OBJECT_105,PAYLOAD,GEO,MEO,Moderate,99.55,0.05301,1967,15225,Very Long,10.96,2026-04-16,ESA,2026-03-28,CHN,2026-03-28
10106,OBJECT_106,PAYLOAD,GEO,LEO,Low,16.04,0.00278,1977,8917,Short,15.02,2026-04-17,NASA,2026-03-28,CHN,2026-03-28
10107,OBJECT_107,DEBRIS,GEO,MEO,Moderate,112.25,0.02467,1992,6767,Moderate,15.15,2026-04-18,ESA,2026-03-28,CHN,2026-03-28
10108,OBJECT_108,PAYLOAD,GEO,MEO,Low,90.17,0.04596,1960,17187,Moderate,16.3,2026-04-19,NASA,2026-03-28,IND,2026-03-28
10109,OBJECT_109,PAYLOAD,GEO,MEO,High,112.96,0.06285,1965,18967,Very Long,14.82,2026-04-20,CNSA,2026-03-28,RUS,2026-03-28
10110,OBJECT_110,PAYLOAD,GEO,GEO,Low,81.19,0.05573,2000,1666,Short,0.54,2026-04-21,CNSA,2026-03-28,EU,2026-03-28
10111,OBJECT_111,PAYLOAD,GEO,MEO,Moderate,43.61,0.07426,2014,15933,Moderate,6.77,2026-04-22,CNSA,2026-03-28,USA,2026-03-28
10112,OBJECT_112,ROCKET_BODY,GEO,GEO,Low,112.58,0.02798,1964,6976,Moderate,14.01,2026-04-23,CNSA,2026-03-28,RUS,2026-03-28
10113,OBJECT_113,DEBRIS,GEO,LEO,High,33.07,0.0565,2018,2553,Moderate,6.54,2026-04-24,CNSA,2026-03-28,CHN,2026-03-28
10114,OBJECT_114,DEBRIS,GEO,LEO,Moderate,39.86,0.00881,1977,13220,Short,10.43,2026-04-25,ESA,2026-03-28,USA,2026-03-28
10115,OBJECT_115,DEBRIS,GEO,GEO,High,84.1,0.04137,2008,14275,Short,10.5,2026-04-26,ESA,2026-03-28,EU,2026-03-28
10116,OBJECT_116,DEBRIS,GEO,GEO,High,91.84,0.07502,2024,12613,Moderate,6.52,2026-04-27,ESA,2026-03-28,RUS,2026-03-28
10117,OBJECT_117,PAYLOAD,GEO,GEO,Moderate,111.53,0.06934,2013,2809,Very Long,15.42,2026-04-28,CNSA,2026-03-28,RUS,2026-03-28
10118,OBJECT_118,DEBRIS,GEO,MEO,High,24.58,0.09906,2020,11091,Very Long,8.8,2026-04-29,CNSA,2026-03-28,IND,2026-03-28
10119,OBJECT_119,DEBRIS,GEO,LEO,High,95.76,0.02779,1967,12261,Moderate,8.17,2026-04-30,NASA,2026-03-28,RUS,2026-03-28
10120,OBJECT_120,DEBRIS,GEO,GEO,Low,88.63,0.04982,1962,15296,Short,16.96,2026-05-01,ISRO,2026-03-28,RUS,2026-03-28
10121,OBJECT_121,DEBRIS,GEO,MEO,High,7.66,0.03295,1984,14838,Moderate,8.64,2026-05-02,ESA,2026-03-28,EU,2026-03-28
10122,OBJECT_122,PAYLOAD,GEO,LEO,High,46.47,0.04406,2014,14670,Short,3.44,2026-05-03,ISRO,2026-03-28,EU,2026-03-28
10123,OBJECT_123,PAYLOAD,GEO,MEO,High,33.93,0.0857,1999,10524,Moderate,8.97,2026-05-04,CNSA,2026-03-28,USA,2026-03-28
10124,OBJECT_124,PAYLOAD,GEO,LEO,High,36.54,0.06842,2009,12763,Short,13.93,2026-05-05,CNSA,2026-03-28,CHN,2026-03-28
10125,OBJECT_125,PAYLOAD,GEO,MEO,Moderate,117.95,0.08824,1992,13770,Long,13.32,2026-05-06,CNSA,2026-03-28,EU,2026-03-28
10126,OBJECT_126,DEBRIS,GEO,LEO,Low,77.13,0.02035,1977,13732,Very Long,13.51,2026-05-07,ISRO,2026-03-28,USA,2026-03-28
10127,OBJECT_127,DEBRIS,GEO,LEO,High,86.12,0.08734,2016,11878,Long,12.18,2026-05-08,NASA,2026-03-28,RUS,2026-03-28
10128,OBJECT_128,PAYLOAD,GEO,MEO,High,117.19,0.00598,1975,2457,Very Long,4.69,2026-05-09,CNSA,2026-03-28,USA,2026-03-28
10129,OBJECT_129,DEBRIS,GEO,GEO,Moderate,45.26,0.08886,1997,5424,Short,14.72,2026-05-10,NASA,2026-03-28,USA,2026-03-28
10130,OBJECT_130,PAYLOAD,GEO,LEO,High,96.22,0.03291,2000,14247,Long,15.24,2026-05-11,NASA,2026-03-28,USA,2026-03-28
10131,OBJECT_131,PAYLOAD,GEO,GEO,Moderate,52.14,0.03146,1966,12847,Very Long,3.7,2026-05-12,ESA,2026-03-28,USA,2026-03-28
10132,OBJECT_132,PAYLOAD,GEO,MEO,Low,104.34,0.05121,2012,4318,Moderate,2.65,2026-05-13,ISRO,2026-03-28,EU,2026-03-28
10133,OBJECT_133,PAYLOAD,GEO,GEO,Low,21.68,0.09407,2022,17941,Short,16.6,2026-05-14,CNSA,2026-03-28,CHN,2026-03-28
10134,OBJECT_134,ROCKET_BODY,GEO,GEO,High,113.72,0.00478,1991,18590,Short,14.83,2026-05-15,NASA,2026-03-28,USA,2026-03-28
10135,OBJECT_135,PAYLOAD,GEO,GEO,High,26.25,0.03522,1997,12636,Moderate,15.24,2026-05-16,ISRO,2026-03-28,IND,2026-03-28
10136,OBJECT_136,DEBRIS,GEO,GEO,High,39.15,0.08566,1981,13471,Moderate,15.13,2026-05-17,ISRO,2026-03-28,RUS,2026-03-28
10137,OBJECT_137,DEBRIS,GEO,GEO,Moderate,90.74,0.03961,1975,13177,Very Long,9.44,2026-05-18,CNSA,2026-03-28,RUS,2026-03-28
10138,OBJECT_138,PAYLOAD,GEO,LEO,High,47.25,0.01992,2011,9114,Short,11.17,2026-05-19,ESA,2026-03-28,RUS,2026-03-28
10139,OBJECT_139,ROCKET_BODY,GEO,LEO,High,72.99,0.04248,1988,13547,Very Long,9.5,2026-05-20,ESA,2026-03-28,RUS,2026-03-28
10140,OBJECT_140,ROCKET_BODY,GEO,LEO,Low,53.35,0.03856,1975,6806,Moderate,1.34,2026-05-21,NASA,2026-03-28,RUS,2026-03-28
10141,OBJECT_141,PAYLOAD,GEO,MEO,High,89.08,0.09154,1976,16789,Short,12.8,2026-05-22,ESA,2026-03-28,USA,2026-03-28
10142,OBJECT_142,PAYLOAD,GEO,GEO,Low,27.4,0.07619,2023,18005,Moderate,8.84,2026-05-23,ESA,2026-03-28,CHN,2026-03-28
10143,OBJECT_143,PAYLOAD,GEO,LEO,High,7.01,0.05051,1972,19337,Very Long,11.19,2026-05-24,ESA,2026-03-28,IND,2026-03-28
10144,OBJECT_144,PAYLOAD,MEO,MEO,Low,35.99,0.09884,2015,8081,Very Long,8.79,2026-05-25,ISRO,2026-03-28,EU,2026-03-28
10145,OBJECT_145,PAYLOAD,GEO,LEO,High,56.92,0.04653,1964,3119,Very Long,8.61,2026-05-26,CNSA,2026-03-28,IND,2026-03-28
10146,OBJECT_146,DEBRIS,GEO,LEO,Low,20.16,0.00582,1971,6631,Short,3.33,2026-05-27,ISRO,2026-03-28,EU,2026-03-28
10147,OBJECT_147,DEBRIS,GEO,GEO,Moderate,42.58,0.02623,2000,566,Moderate,5.1,2026-05-28,ISRO,2026-03-28,EU,2026-03-28
10148,OBJECT_148,PAYLOAD,GEO,MEO,Low,48.0,0.04361,1962,15702,Moderate,3.12,2026-05-29,CNSA,2026-03-28,IND,2026-03-28
10149,OBJECT_149,PAYLOAD,GEO,GEO,Low,6.89,0.01569,1992,14860,Very Long,3.73,2026-05-30,ISRO,2026-03-28,USA,2026-03-28
10150,OBJECT_150,ROCKET_BODY,GEO,GEO,Low,70.0,0.09476,2009,7671,Very Long,16.55,2026-05-31,NASA,2026-03-28,RUS,2026-03-28
10151,OBJECT_151,PAYLOAD,GEO,LEO,High,106.12,0.07668,2015,19253,Very Long,3.03,2026-06-01,NASA,2026-03-28,USA,2026-03-28
10152,OBJECT_152,PAYLOAD,GEO,GEO,High,18.21,0.02683,1968,9477,Very Long,4.94,2026-06-02,ISRO,2026-03-28,RUS,2026-03-28
10153,OBJECT_153,PAYLOAD,GEO,MEO,High,71.74,0.05908,2009,8777,Long,10.24,2026-06-03,ESA,2026-03-28,CHN,2026-03-28
10154,OBJECT_154,ROCKET_BODY,GEO,GEO,Moderate,79.77,0.07214,1988,15022,Long,10.57,2026-06-04,ISRO,2026-03-28,EU,2026-03-28
10155,OBJECT_155,PAYLOAD,GEO,GEO,Moderate,50.32,0.09413,1998,4328,Long,3.04,2026-06-05,ESA,2026-03-28,IND,2026-03-28
10156,OBJECT_156,DEBRIS,MEO,GEO,Low,84.13,0.08816,2004,15276,Very Long,13.6,2026-06-06,ISRO,2026-03-28,CHN,2026-03-28
10157,OBJECT_157,DEBRIS,GEO,LEO,Moderate,49.29,0.05152,1976,7615,Very Long,13.46,2026-06-07,NASA,2026-03-28,RUS,2026-03-28
10158,OBJECT_158,PAYLOAD,GEO,MEO,Low,60.56,0.07747,2015,1246,Moderate,4.42,2026-06-08,ESA,2026-03-28,USA,2026-03-28
10159,OBJECT_159,DEBRIS,GEO,LEO,Low,0.88,0.05621,2005,8244,Short,5.26,2026-06-09,NASA,2026-03-28,IND,2026-03-28
10160,OBJECT_160,PAYLOAD,GEO,LEO,Low,83.01,0.05527,1973,10356,Moderate,15.98,2026-06-10,ISRO,2026-03-28,EU,2026-03-28
10161,OBJECT_161,DEBRIS,GEO,LEO,Moderate,79.36,0.01147,1982,538,Long,14.12,2026-06-11,CNSA,2026-03-28,CHN,2026-03-28
10162,OBJECT_162,DEBRIS,GEO,LEO,High,4.61,0.01261,2020,15925,Moderate,12.01,2026-06-12,ESA,2026-03-28,EU,2026-03-28
10163,OBJECT_163,DEBRIS,GEO,LEO,Moderate,44.19,0.05295,1982,16237,Very Long,1.86,2026-06-13,ESA,2026-03-28,RUS,2026-03-28
10164,OBJECT_164,PAYLOAD,GEO,MEO,Low,117.48,0.02689,1986,16925,Long,7.4,2026-06-14,ISRO,2026-03-28,EU,2026-03-28
10165,OBJECT_165,DEBRIS,GEO,GEO,Low,50.49,0.0021,2013,17199,Long,9.73,2026-06-15,ISRO,2026-03-28,USA,2026-03-28
10166,OBJECT_166,PAYLOAD,GEO,LEO,Moderate,60.23,0.07228,1969,1416,Short,3.59,2026-06-16,ESA,2026-03-28,CHN,2026-03-28
10167,OBJECT_167,PAYLOAD,GEO,LEO,Low,109.19,0.00325,1975,11031,Short,7.9,2026-06-17,CNSA,2026-03-28,CHN,2026-03-28
